"Project ID","ARB ID","Project Developer","Project Name","Project VVB","Project Type","Voluntary Status","ARB Status","Project Site Location","Project Site State","Project Site Country","Sustainable Development Goal(s)","Project Notes","Total Number of Credits Registered ","Documents","Project Website",
"ACR527","NA","True Manufacturing Co., Inc.","Advanced Refrigeration CAN - ARS 001C","First Environment, Inc.","Industrial Process Emissions","Completed","Not ARB Eligible","O'Fallon","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","17453","View","",
"ACR529","NA","True Manufacturing Co., Inc.","Advanced Refrigeration CAN - ARS 002C","First Environment, Inc.","Industrial Process Emissions","Completed","Not ARB Eligible","O'Fallon, MO","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","32468","View","",
"ACR531","NA","True Manufacturing Co., Inc.","Advanced Refrigeration CAN - ARS 003C","First Environment, Inc.","Industrial Process Emissions","Completed","Not ARB Eligible","O'Fallon, MO","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","37043","View","",
"ACR600","NA","True Manufacturing Co., Inc.","Advanced Refrigeration CAN - ARS 004C","First Environment, Inc.","Industrial Process Emissions","Completed","Not ARB Eligible","Missouri","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","34725","View","",
"ACR642","NA","True Manufacturing Co., Inc.","Advanced Refrigeration CAN - ARS 005C","First Environment, Inc.","Industrial Process Emissions","Listed","Not ARB Eligible","Missouri","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","","View","",
"ACR479","NA","True Manufacturing Co., Inc.","Advanced Refrigeration US49 - ARS 001","First Environment, Inc.","Industrial Process Emissions","Completed","Not ARB Eligible","O'Fallon","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","199624","View","",
"ACR480","NA","True Manufacturing Co., Inc.","Advanced Refrigeration US49 - ARS 002","First Environment, Inc.","Industrial Process Emissions","Completed","Not ARB Eligible","O'Fallon, MO","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","324357","View","",
"ACR481","NA","True Manufacturing Co., Inc.","Advanced Refrigeration US49 - ARS 003","First Environment, Inc.","Industrial Process Emissions","Completed","Not ARB Eligible","O'Fallon, MO","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","371461","View","",
"ACR598","NA","True Manufacturing Co., Inc.","Advanced Refrigeration US49 - ARS 004","First Environment, Inc.","Industrial Process Emissions","Completed","Not ARB Eligible","Missouri","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","401452","View","",
"ACR640","NA","True Manufacturing Co., Inc.","Advanced Refrigeration US49 - ARS 005","First Environment, Inc.","Industrial Process Emissions","Listed","Not ARB Eligible","Missouri","MISSOURI","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","","View","",
"ACR101","NA","Katene Kadji","AFOVERT Energy","","Fuel Switching","Canceled","Not ARB Eligible","Niono","Niono District","ML","Clean Water and Sanitation;Affordable and Clean Energy;Climate Action;Life on Land","","","View","",
"ACR102","NA","Nike","Air Bag Gas Substitution","ERT","Industrial Gas Substitution","Completed","Not ARB Eligible","Beaverton","OREGON","US","","","7984006","View","",
"ACR424","NA","The Nature Conservancy","Albany Water Board - Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Albany","NEW YORK","US","Clean Water and Sanitation;Climate Action;Life on Land","","106469","View","https://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/newyork/lands-forests/forest-carbon-albany.xml",
"ACR234","CALS5134","Camco Offsets I, LLC","Alliance Dairy","SES, Inc.","Livestock Waste Management","N/A","Listed - Active ARB Project","Trenton","FLORIDA","US","Zero Hunger;Industry, Innovation and Infrastructure;Climate Action","","67896","View","",
"ACR168","NA","National Forest Foundation","Angeles National Forest Carbon Demonstration Project","","Forest Carbon","Listed","Not ARB Eligible","Angeles National Forest - Santa Clara and Mojave Rivers Ranger Districts","CALIFORNIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR104","NA","Tany Meva Foundation","Ankotrofotsy Community-based Reforestation and Carbon Offset Project, Menabe region, Madagascar","","Forest Carbon","Inactive","Not ARB Eligible","Ankotrofotsy","Miandrivazo","MG","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR476","NA","302","Appalachia Carbon Project  2","","Forest Carbon","N/A","Listed - Proposed Project","Eastern Kentucky and minor acreage in VA","KENTUCKY","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR477","NA","302","Appalachia Carbon Project 3","","Forest Carbon","N/A","Listed - Proposed Project","Surroundings of Charleston, WV","WEST VIRGINIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR220","NA","Sustainable Carbon - Projetos Ambientais Ltda.","Araripina Renewable Energy Project","","Fuel Switching","Canceled","Not ARB Eligible","Araripina region (municipalities of Araripina, Ouricuri, Trindade, Ipubi, and Bodocó)","State of Pernambuco","BR","Clean Water and Sanitation;Affordable and Clean Energy;Climate Action;Life on Land","","","View","",
"ACR342","CAMM5342","Wabashco, LLC","Baker Mine AMM","Ruby Canyon Environment","Coal Mine Methane","N/A","Listed - Active ARB Project","1919 KY 132","KENTUCKY","US","Industry, Innovation and Infrastructure;Climate Action","","2236","View","",
"ACR272","NA","City of Astoria","Bear Creek Watershed Forest Carbon Project","","Forest Carbon","Registered","Not ARB Eligible","10 miles southeast of the city of Astoria","OREGON","US","Clean Water and Sanitation;Climate Action;Life on Land","","411399","View","",
"ACR262","CAFR5212","Ross Bewley","Bewley Ranches","","Forest Carbon","N/A","Listed - Active ARB Project","Mendocino County","CALIFORNIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","886667","View","",
"ACR190","CALS5023","Camco Offsets I, LLC","Big Sky Dairy","Agri-Waste Technology, Inc.","Livestock Waste Management","N/A","Listed - Active ARB Project","Gooding, ID","IDAHO","US","Zero Hunger;Industry, Innovation and Infrastructure;Climate Action","","194151","View","",
"ACR282","CAFR5232","282","Blue Creek","S&A Carbon, LLC","Forest Carbon","N/A","Listed - Active ARB Project","Humboldt and Del Norte County, California","CALIFORNIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","1103300","View","",
"ACR276","CAFR5226","Blue Source","Blue Source - Allegheny Improved Forest Management Project","Ruby Canyon Environment","Forest Carbon","N/A","Listed - Active ARB Project","Horner","WEST VIRGINIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","2233546","View","",
"ACR174","NA","Heartwood Forestland Fund IV","Blue Source - Bishop Improved Forest Management Project","Environmental Services, Inc.","Forest Carbon","N/A","ARB Inactive","Upper Peninsula MI","MICHIGAN","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR371","CAFR5371","Blue Source","Blue Source - Great Mountain Forest Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","N/A","Listed - Active ARB Project","Norfolk","CONNECTICUT","US","Clean Water and Sanitation;Climate Action;Life on Land","","381992","View","",
"ACR298","CAFR5248","Blue Source","Blue Source - Hancock McCloud Improved Forest Management Project","","Forest Carbon","N/A","Listed - Proposed Project","Weed, California","CALIFORNIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
