"CO₂e (GWP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.B.5.     Emissões indiretas de N2O," 1,049 "," 1,113 "," 1,153 "," 1,160 "," 1,203 "," 1,242 "," 1,123 "," 1,151 "," 1,159 "," 1,213 "," 1,294 "," 1,309 "," 1,303 "," 1,345 "," 1,419 "," 1,474 "," 1,515 "," 1,607 "," 1,684 "," 1,772 "," 1,811 "," 1,987 "," 1,988 "," 2,016 "," 2,088 "," 2,102 "," 2,080 "
3.B.5.a.       Bovinos, 317 , 327 , 336 , 337 , 351 , 372 , 322 , 341 , 336 , 347 , 379 , 377 , 382 , 393 , 431 , 427 , 436 , 459 , 464 , 507 , 510 , 559 , 590 , 636 , 629 , 603 , 577 
3.B.5.a.i.         Bovinos de corte, 49 , 51 , 53 , 52 , 65 , 80 , 93 , 102 , 92 , 102 , 128 , 124 , 127 , 134 , 163 , 154 , 155 , 173 , 168 , 198 , 193 , 233 , 263 , 300 , 297 , 288 , 277 
3.B.5.a.ii.          Bovinos de leite, 268 , 276 , 283 , 284 , 286 , 292 , 229 , 239 , 244 , 245 , 252 , 253 , 255 , 259 , 268 , 273 , 280 , 286 , 297 , 308 , 318 , 326 , 327 , 336 , 333 , 315 , 300 
3.B.5.b.       Suínos , 306 , 314 , 319 , 319 , 330 , 342 , 280 , 280 , 287 , 306 , 325 , 316 , 312 , 321 , 331 , 348 , 365 , 373 , 386 , 410 , 427 , 534 , 510 , 478 , 494 , 534 , 538 
3.B.5.c.vii.           Aves, 426 , 473 , 498 , 504 , 522 , 528 , 521 , 530 , 536 , 560 , 590 , 616 , 609 , 631 , 657 , 699 , 715 , 775 , 834 , 854 , 873 , 893 , 889 , 902 , 965 , 965 , 965 
3.C.   Cultivo de Arroz," 9,271 "," 10,089 "," 10,797 "," 11,514 "," 11,295 "," 11,539 "," 10,006 "," 9,431 "," 9,324 "," 11,040 "," 10,311 "," 10,063 "," 10,464 "," 10,113 "," 11,273 "," 10,796 "," 10,658 "," 10,141 "," 11,124 "," 11,453 "," 10,794 "," 12,109 "," 10,768 "," 10,971 "," 11,179 "," 11,967 "," 11,159 "
3.D.   Solos Manejados," 70,962 "," 72,361 "," 74,537 "," 75,553 "," 77,865 "," 79,156 "," 75,446 "," 78,094 "," 80,218 "," 81,126 "," 84,713 "," 87,930 "," 91,881 "," 101,098 "," 103,617 "," 104,213 "," 105,287 "," 108,403 "," 109,811 "," 111,507 "," 116,734 "," 120,412 "," 119,952 "," 124,020 "," 126,343 "," 126,547 "," 130,846 "
3.D.1.     Emissões diretas," 55,380 "," 56,444 "," 58,135 "," 58,814 "," 60,596 "," 61,632 "," 58,733 "," 60,750 "," 62,318 "," 63,046 "," 65,860 "," 68,398 "," 71,449 "," 78,507 "," 80,430 "," 80,847 "," 81,680 "," 83,935 "," 85,149 "," 86,418 "," 90,387 "," 92,995 "," 92,700 "," 95,763 "," 97,438 "," 97,885 "," 100,692 "
3.D.1.a.       Fertilizantes sintéticos," 3,108 "," 3,095 "," 3,430 "," 4,036 "," 4,710 "," 4,531 "," 4,819 "," 5,265 "," 5,897 "," 5,607 "," 6,759 "," 6,640 "," 7,366 "," 9,065 "," 9,138 "," 8,963 "," 9,358 "," 11,290 "," 10,206 "," 10,421 "," 11,673 "," 13,785 "," 14,229 "," 15,183 "," 15,899 "," 14,485 "," 17,968 "
3.D.1.b.       Adubos orgânicos," 2,135 "," 2,188 "," 2,316 "," 2,300 "," 2,331 "," 2,528 "," 2,334 "," 2,479 "," 2,549 "," 2,605 "," 2,692 "," 2,594 "," 2,681 "," 2,843 "," 3,084 "," 3,236 "," 3,304 "," 3,594 "," 3,927 "," 4,290 "," 4,292 "," 4,461 "," 4,187 "," 4,266 "," 4,534 "," 4,556 "," 4,570 "
3.D.1.c.       Deposição de dejetos em pastagem," 35,830 "," 36,953 "," 37,464 "," 37,467 "," 37,991 "," 38,682 "," 36,144 "," 36,812 "," 37,384 "," 37,744 "," 38,917 "," 40,551 "," 42,458 "," 44,484 "," 46,314 "," 46,901 "," 46,731 "," 45,517 "," 46,164 "," 47,114 "," 48,471 "," 48,798 "," 48,363 "," 48,295 "," 48,565 "," 49,029 "," 49,509 "
3.D.1.c.i.         Bovinos," 32,127 "," 33,204 "," 33,717 "," 33,859 "," 34,326 "," 34,970 "," 33,314 "," 33,971 "," 34,529 "," 34,835 "," 35,942 "," 37,563 "," 39,505 "," 41,525 "," 43,322 "," 43,852 "," 43,697 "," 42,586 "," 43,249 "," 44,228 "," 45,539 "," 45,843 "," 45,541 "," 45,463 "," 45,701 "," 46,098 "," 46,565 "
3.D.1.c.i.1.           Bovinos de corte," 23,217 "," 23,912 "," 24,184 "," 24,520 "," 25,015 "," 25,417 "," 25,749 "," 26,044 "," 26,501 "," 26,751 "," 27,627 "," 29,103 "," 30,738 "," 32,536 "," 33,969 "," 34,204 "," 33,912 "," 32,729 "," 33,193 "," 33,774 "," 34,868 "," 35,045 "," 34,969 "," 34,847 "," 35,031 "," 36,356 "," 37,508 "
3.D.1.c.i.2.           Bovino de leite," 8,910 "," 9,292 "," 9,533 "," 9,338 "," 9,311 "," 9,553 "," 7,565 "," 7,926 "," 8,028 "," 8,085 "," 8,315 "," 8,459 "," 8,767 "," 8,989 "," 9,354 "," 9,648 "," 9,785 "," 9,857 "," 10,057 "," 10,454 "," 10,671 "," 10,798 "," 10,572 "," 10,616 "," 10,670 "," 9,743 "," 9,057 "
3.D.1.c.ii.          Suínos , 781 , 784 , 773 , 737 , 737 , 738 , 539 , 531 , 524 , 535 , 543 , 550 , 538 , 508 , 518 , 533 , 516 , 492 , 481 , 481 , 487 , 469 , 434 , 413 , 422 , 420 , 409 
3.D.1.c.iii.           Outros animais," 2,922 "," 2,965 "," 2,974 "," 2,871 "," 2,928 "," 2,974 "," 2,291 "," 2,310 "," 2,331 "," 2,374 "," 2,432 "," 2,438 "," 2,415 "," 2,451 "," 2,474 "," 2,516 "," 2,519 "," 2,439 "," 2,434 "," 2,405 "," 2,445 "," 2,487 "," 2,388 "," 2,418 "," 2,443 "," 2,510 "," 2,535 "
3.D.1.d.       Resíduos agrícolas," 12,101 "," 11,994 "," 12,703 "," 12,780 "," 13,345 "," 13,639 "," 13,174 "," 13,922 "," 14,206 "," 14,798 "," 15,189 "," 16,301 "," 16,576 "," 19,226 "," 18,994 "," 18,837 "," 19,367 "," 20,605 "," 21,913 "," 21,642 "," 23,013 "," 23,200 "," 23,161 "," 25,249 "," 25,657 "," 27,023 "," 25,844 "
3.D.1.d.i.         Soja," 1,517 "," 1,139 "," 1,465 "," 1,723 "," 1,901 "," 1,959 "," 1,767 "," 2,013 "," 2,388 "," 2,363 "," 2,503 "," 2,891 "," 3,211 "," 3,960 "," 3,779 "," 3,903 "," 4,002 "," 4,413 "," 4,563 "," 4,373 "," 5,244 "," 5,707 "," 5,023 "," 6,234 "," 6,618 "," 7,435 "," 7,353 "
3.D.1.d.ii.          Milho," 1,143 "," 1,265 "," 1,634 "," 1,610 "," 1,740 "," 1,943 "," 1,588 "," 1,765 "," 1,586 "," 1,727 "," 1,731 "," 2,248 "," 1,925 "," 2,589 "," 2,239 "," 1,881 "," 2,285 "," 2,792 "," 3,157 "," 2,717 "," 2,966 "," 2,982 "," 3,808 "," 4,301 "," 4,280 "," 4,569 "," 3,437 "
3.D.1.d.iii.           Cana-de-açúcar, 544 , 540 , 562 , 509 , 607 , 631 , 731 , 817 , 866 , 857 , 891 , 929 , 979 ," 1,043 "," 1,112 "," 1,156 "," 1,377 "," 1,664 "," 2,264 "," 2,716 "," 3,014 "," 3,312 "," 3,412 "," 3,762 "," 3,666 "," 3,981 "," 4,137 "
3.D.1.d.iv.          Arroz, 339 , 432 , 456 , 462 , 480 , 512 , 394 , 381 , 352 , 534 , 508 , 464 , 476 , 471 , 605 , 601 , 525 , 504 , 550 , 577 , 512 , 614 , 527 , 537 , 555 , 561 , 484 
3.D.1.d.v.         Feijão, 244 , 300 , 306 , 271 , 368 , 322 , 268 , 310 , 240 , 309 , 334 , 268 , 335 , 361 , 324 , 330 , 378 , 347 , 378 , 381 , 345 , 376 , 306 , 316 , 360 , 338 , 286 
3.D.1.d.vi.          Mandioca, 261 , 264 , 235 , 235 , 263 , 273 , 191 , 214 , 210 , 224 , 248 , 243 , 249 , 236 , 257 , 278 , 286 , 285 , 287 , 262 , 268 , 272 , 248 , 231 , 250 , 248 , 227 
3.D.1.d.vii.           Trigo, 123 , 116 , 111 , 87 , 83 , 61 , 131 , 99 , 90 , 98 , 69 , 134 , 124 , 245 , 231 , 185 , 99 , 164 , 240 , 201 , 245 , 226 , 176 , 228 , 249 , 219 , 272 
3.D.1.d.viii.            Pastagens," 7,646 "," 7,646 "," 7,646 "," 7,646 "," 7,646 "," 7,699 "," 7,871 "," 8,044 "," 8,216 "," 8,388 "," 8,560 "," 8,732 "," 8,905 "," 9,883 "," 9,913 "," 9,943 "," 9,922 "," 9,926 "," 9,930 "," 9,934 "," 9,937 "," 9,132 "," 9,132 "," 9,132 "," 9,132 "," 9,132 "," 9,132 "
3.D.1.d.ix.          Outras culturas temporárias, 283 , 291 , 286 , 236 , 256 , 240 , 233 , 279 , 260 , 296 , 345 , 391 , 373 , 438 , 533 , 559 , 492 , 511 , 544 , 481 , 480 , 577 , 530 , 507 , 547 , 540 , 516 
3.D.1.e.       Mineralização de N associada a perda de C do solo, 770 , 770 , 770 , 770 , 770 , 770 , 770 , 770 , 770 , 770 , 770 , 770 , 770 ," 1,326 "," 1,326 "," 1,326 "," 1,326 "," 1,326 "," 1,326 "," 1,326 "," 1,326 "," 1,107 "," 1,107 "," 1,107 "," 1,107 "," 1,107 "," 1,107 "
3.D.1.f.       Manejo de solos orgânicos," 1,435 "," 1,444 "," 1,454 "," 1,463 "," 1,450 "," 1,483 "," 1,493 "," 1,503 "," 1,513 "," 1,523 "," 1,533 "," 1,543 "," 1,599 "," 1,563 "," 1,573 "," 1,583 "," 1,594 "," 1,604 "," 1,614 "," 1,624 "," 1,611 "," 1,644 "," 1,654 "," 1,664 "," 1,675 "," 1,685 "," 1,696 "
3.D.2.     Emissões indiretas," 15,582 "," 15,917 "," 16,402 "," 16,738 "," 17,269 "," 17,523 "," 16,713 "," 17,344 "," 17,899 "," 18,080 "," 18,853 "," 19,532 "," 20,433 "," 22,591 "," 23,187 "," 23,366 "," 23,607 "," 24,468 "," 24,661 "," 25,089 "," 26,347 "," 27,417 "," 27,252 "," 28,257 "," 28,906 "," 28,661 "," 30,154 "
3.D.2.a.       Deposição atmosferica," 5,943 "," 6,119 "," 6,256 "," 6,450 "," 6,615 "," 6,692 "," 6,371 "," 6,594 "," 6,837 "," 6,879 "," 7,111 "," 7,348 "," 7,716 "," 8,426 "," 8,712 "," 8,851 "," 8,890 "," 9,157 "," 9,114 "," 9,317 "," 9,787 "," 10,293 "," 10,186 "," 10,495 "," 10,777 "," 10,461 "," 11,360 "
3.D.2.a.i.         Fertilizantes sintéticos, 647 , 660 , 705 , 908 , 995 , 943 ," 1,016 "," 1,120 "," 1,276 "," 1,255 "," 1,309 "," 1,343 "," 1,442 "," 1,850 "," 1,847 "," 1,877 "," 1,924 "," 2,303 "," 2,118 "," 2,135 "," 2,418 "," 2,851 "," 2,851 "," 3,155 "," 3,354 "," 2,969 "," 3,806 "
3.D.2.a.ii.          Adubos orgânicos, 401 , 413 , 436 , 435 , 442 , 478 , 440 , 465 , 477 , 491 , 510 , 496 , 511 , 541 , 585 , 614 , 627 , 680 , 737 , 799 , 803 , 833 , 788 , 803 , 848 , 850 , 849 
3.D.2.a.iii.           Deposição de dejetos diretamente no solo," 4,894 "," 5,046 "," 5,115 "," 5,107 "," 5,178 "," 5,271 "," 4,915 "," 5,008 "," 5,085 "," 5,133 "," 5,292 "," 5,510 "," 5,763 "," 6,035 "," 6,281 "," 6,360 "," 6,339 "," 6,173 "," 6,259 "," 6,384 "," 6,566 "," 6,609 "," 6,546 "," 6,538 "," 6,575 "," 6,642 "," 6,706 "
3.D.2.a.iii.1.             Bovinos," 4,284 "," 4,427 "," 4,496 "," 4,515 "," 4,577 "," 4,663 "," 4,442 "," 4,529 "," 4,604 "," 4,645 "," 4,792 "," 5,008 "," 5,267 "," 5,537 "," 5,776 "," 5,847 "," 5,826 "," 5,678 "," 5,767 "," 5,897 "," 6,072 "," 6,112 "," 6,072 "," 6,062 "," 6,093 "," 6,146 "," 6,209 "
