"CH₄ 
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1.A.3.     Transporte, 67.3 , 70.8 , 68.9 , 68.5 , 69.8 , 73.0 , 76.2 , 73.9 , 70.0 , 63.5 , 55.7 , 50.6 , 48.9 , 46.4 , 47.2 , 45.8 , 44.0 , 47.0 , 47.1 , 44.9 , 45.0 , 43.6 , 43.5 , 42.7 , 41.8 , 39.1 , 37.0 
1.A.3.a.ii.          Aviação doméstica, 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 
1.A.3.b.       Transporte rodoviário, 66.9 , 70.4 , 68.5 , 68.0 , 69.4 , 72.6 , 75.8 , 73.5 , 69.6 , 63.1 , 55.3 , 50.2 , 48.4 , 46.0 , 46.7 , 45.3 , 43.6 , 46.4 , 46.5 , 44.3 , 44.4 , 43.1 , 42.9 , 42.1 , 41.1 , 38.6 , 36.5 
1.A.3.c.       Transporte Ferroviário, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 
1.A.3.d.ii.          Navegação doméstica, 0.3 , 0.3 , 0.3 , 0.4 , 0.3 , 0.3 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.2 
1.A.3.e.       Outros transportes, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 
1.A.4.     Outros Setores, 341.4 , 338.2 , 335.6 , 294.9 , 286.4 , 261.0 , 255.9 , 258.6 , 263.6 , 271.3 , 276.6 , 287.8 , 320.9 , 334.5 , 339.7 , 346.6 , 348.6 , 331.6 , 329.0 , 321.9 , 312.3 , 281.7 , 280.2 , 252.4 , 268.0 , 277.6 , 264.9 
1.A.4.a.       Comercial / institucional, 3.8 , 3.8 , 3.8 , 3.8 , 3.6 , 3.5 , 3.7 , 3.6 , 3.4 , 3.4 , 3.1 , 3.0 , 2.8 , 3.2 , 3.0 , 3.1 , 3.2 , 3.3 , 3.4 , 3.5 , 3.8 , 4.1 , 4.1 , 4.1 , 4.1 , 4.0 , 3.8 
1.A.4.b.       Residencial, 318.2 , 316.7 , 316.8 , 277.3 , 269.3 , 243.6 , 238.5 , 241.4 , 247.1 , 255.2 , 261.4 , 272.7 , 304.9 , 316.7 , 321.1 , 327.6 , 329.0 , 311.1 , 307.1 , 300.8 , 290.1 , 259.7 , 258.4 , 229.0 , 244.2 , 252.9 , 241.9 
1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura, 19.3 , 17.7 , 15.1 , 13.7 , 13.5 , 13.8 , 13.7 , 13.6 , 13.0 , 12.6 , 12.0 , 12.0 , 13.2 , 14.6 , 15.6 , 15.9 , 16.4 , 17.2 , 18.6 , 17.6 , 18.5 , 17.9 , 17.7 , 19.3 , 19.7 , 20.7 , 19.2 
1.A.5.     Não Especificado, 0.1 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 
1.B.   Emissões Fugitivas a Partir da Produção de Combustíveis, 93.4 , 97.3 , 87.8 , 91.5 , 89.0 , 88.9 , 78.7 , 90.3 , 97.6 , 106.3 , 124.0 , 142.8 , 135.3 , 108.4 , 137.3 , 210.2 , 176.6 , 171.6 , 176.2 , 240.5 , 183.1 , 168.4 , 182.7 , 184.4 , 185.6 , 188.6 , 185.6 
1.B.1.     Combustíveis sólidos, 51.9 , 56.4 , 46.3 , 49.1 , 44.9 , 43.7 , 28.1 , 36.0 , 35.5 , 37.2 , 47.4 , 62.6 , 46.6 , 43.4 , 50.6 , 52.1 , 50.8 , 57.3 , 62.0 , 54.9 , 42.5 , 47.0 , 50.1 , 62.6 , 57.4 , 53.0 , 48.1 
1.B.2.     Petróleo e Gás Natural , 41.5 , 40.9 , 41.5 , 42.4 , 44.1 , 45.1 , 50.6 , 54.3 , 62.1 , 69.1 , 76.6 , 80.2 , 88.7 , 65.0 , 86.7 , 158.2 , 125.8 , 114.3 , 114.2 , 185.7 , 140.7 , 121.4 , 132.7 , 121.8 , 128.2 , 135.6 , 137.5 
1.C.   Transporte e armazenamento de CO2, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
