"CO₂e (GTP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1.A.2.i.       Mineração (exceto combustíveis) e extração," 2,448 "," 2,423 "," 2,687 "," 2,837 "," 3,453 "," 3,359 "," 3,850 "," 3,773 "," 3,938 "," 4,633 "," 5,548 "," 5,447 "," 5,615 "," 5,599 "," 6,016 "," 6,906 "," 7,138 "," 8,229 "," 7,640 "," 5,632 "," 7,602 "," 7,919 "," 7,608 "," 7,628 "," 7,810 "," 7,781 "," 5,917 "
1.A.2.l.       Têxtil e couro," 1,633 "," 1,561 "," 1,561 "," 1,655 "," 1,393 "," 1,367 "," 1,491 "," 1,291 "," 1,305 "," 1,195 "," 1,328 "," 1,219 "," 1,293 "," 1,096 "," 1,197 "," 1,191 "," 1,190 "," 1,319 "," 1,185 "," 1,130 "," 1,065 "," 1,086 "," 1,030 "," 1,021 ", 858 , 722 , 652 
1.A.3.     Transporte," 83,466 "," 87,277 "," 88,033 "," 91,274 "," 95,688 "," 105,873 "," 114,348 "," 121,323 "," 127,657 "," 125,106 "," 126,266 "," 128,847 "," 131,726 "," 129,267 "," 137,609 "," 137,962 "," 142,684 "," 148,587 "," 154,139 "," 152,750 "," 172,318 "," 188,543 "," 205,680 "," 213,136 "," 218,679 "," 203,370 "," 204,198 "
1.A.3.a.ii.          Aviação doméstica," 5,184 "," 5,425 "," 5,100 "," 5,385 "," 5,528 "," 6,417 "," 6,851 "," 7,710 "," 8,449 "," 7,876 "," 8,381 "," 8,616 "," 8,254 "," 5,906 "," 6,301 "," 5,926 "," 6,189 "," 6,737 "," 6,663 "," 7,818 "," 9,215 "," 10,500 "," 10,683 "," 10,252 "," 10,347 "," 10,473 "," 9,795 "
1.A.3.b.       Transporte rodoviário," 72,987 "," 76,717 "," 77,587 "," 80,039 "," 85,149 "," 94,406 "," 101,665 "," 109,278 "," 114,575 "," 112,522 "," 113,540 "," 115,389 "," 117,795 "," 117,977 "," 125,143 "," 125,627 "," 129,910 "," 134,257 "," 139,460 "," 137,317 "," 154,346 "," 169,780 "," 186,466 "," 193,580 "," 198,288 "," 184,895 "," 186,749 "
1.A.3.c.       Transporte Ferroviário," 1,789 "," 1,777 "," 1,826 "," 1,855 "," 1,390 "," 1,490 "," 1,372 "," 1,113 "," 1,184 "," 1,182 "," 1,364 "," 1,547 "," 2,341 "," 2,310 "," 2,633 "," 2,787 "," 3,087 "," 3,284 "," 3,338 "," 3,236 "," 3,203 "," 3,232 "," 3,315 "," 3,288 "," 3,224 "," 3,071 "," 3,012 "
1.A.3.d.ii.          Navegação doméstica," 3,506 "," 3,359 "," 3,520 "," 3,994 "," 3,620 "," 3,560 "," 4,460 "," 3,221 "," 3,449 "," 3,526 "," 2,980 "," 3,295 "," 3,337 "," 3,074 "," 3,531 "," 3,621 "," 3,498 "," 4,308 "," 4,678 "," 4,379 "," 4,443 "," 4,266 "," 4,180 "," 4,185 "," 4,795 "," 3,113 "," 2,382 "
1.A.3.e.       Outros transportes, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,110 ", 763 ," 1,036 "," 1,830 "," 2,025 "," 1,818 "," 2,261 "
1.A.4.     Outros Setores," 29,081 "," 29,707 "," 30,528 "," 31,925 "," 33,652 "," 35,243 "," 35,936 "," 36,767 "," 36,496 "," 38,189 "," 37,756 "," 39,486 "," 39,124 "," 37,091 "," 37,423 "," 36,875 "," 37,053 "," 38,520 "," 40,261 "," 39,247 "," 39,677 "," 39,466 "," 40,055 "," 40,255 "," 41,199 "," 41,243 "," 38,190 "
1.A.4.a.       Comercial / institucional," 2,639 "," 2,506 "," 2,533 "," 2,487 "," 3,606 "," 3,718 "," 3,176 "," 3,409 "," 3,728 "," 4,439 "," 4,384 "," 4,599 "," 4,927 "," 3,877 "," 4,051 "," 3,813 "," 3,806 "," 4,018 "," 3,858 "," 3,348 "," 2,829 "," 3,081 "," 2,906 "," 2,861 "," 2,980 "," 2,813 "," 2,789 "
1.A.4.b.       Residencial," 16,006 "," 16,379 "," 16,884 "," 17,184 "," 17,117 "," 17,671 "," 18,304 "," 18,345 "," 18,438 "," 18,827 "," 18,906 "," 19,017 "," 18,660 "," 17,586 "," 17,948 "," 17,715 "," 17,749 "," 18,146 "," 18,530 "," 18,699 "," 19,146 "," 19,195 "," 19,298 "," 19,512 "," 19,615 "," 19,688 "," 19,809 "
1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura," 10,436 "," 10,822 "," 11,111 "," 12,254 "," 12,930 "," 13,854 "," 14,455 "," 15,013 "," 14,330 "," 14,923 "," 14,466 "," 15,871 "," 15,537 "," 15,628 "," 15,424 "," 15,347 "," 15,497 "," 16,355 "," 17,873 "," 17,200 "," 17,702 "," 17,190 "," 17,851 "," 17,882 "," 18,605 "," 18,742 "," 15,592 "
1.A.5.     Não Especificado," 1,618 ", 743 ," 1,126 ", 739 , 751 , 876 , 932 ," 2,339 "," 1,334 "," 1,077 "," 1,160 "," 1,200 "," 1,145 ", 775 , 833 ," 1,151 "," 1,095 "," 1,190 "," 1,886 "," 1,182 "," 1,151 ", 920 ," 1,217 "," 1,063 "," 1,242 ", 718 , 698 
1.B.   Emissões Fugitivas a Partir da Produção de Combustíveis," 6,715 "," 6,582 "," 6,725 "," 6,830 "," 7,141 "," 7,076 "," 7,581 "," 8,182 "," 8,973 "," 9,530 "," 10,107 "," 10,554 "," 10,780 "," 10,536 "," 10,156 "," 13,578 "," 12,619 "," 12,915 "," 13,497 "," 17,782 "," 14,268 "," 13,598 "," 14,520 "," 15,005 "," 16,735 "," 16,492 "," 16,914 "
1.B.1.     Combustíveis sólidos, 312 , 338 , 278 , 295 , 270 , 262 , 169 , 216 , 213 , 223 , 284 , 376 , 280 , 260 , 304 , 312 , 305 , 344 , 372 , 329 , 255 , 282 , 300 , 375 , 344 , 318 , 289 
1.B.2.     Petróleo e Gás Natural ," 6,403 "," 6,244 "," 6,447 "," 6,536 "," 6,871 "," 6,814 "," 7,412 "," 7,966 "," 8,760 "," 9,307 "," 9,822 "," 10,179 "," 10,500 "," 10,276 "," 9,853 "," 13,266 "," 12,314 "," 12,571 "," 13,125 "," 17,452 "," 14,013 "," 13,316 "," 14,220 "," 14,630 "," 16,391 "," 16,174 "," 16,625 "
1.C.   Transporte e armazenamento de CO2, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
