"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.B.1.a.       Bovinos de corte," 3,977 "," 4,106 "," 4,162 "," 4,195 "," 4,312 "," 4,432 "," 4,322 "," 4,405 "," 4,439 "," 4,515 "," 4,740 "," 4,966 "," 5,007 "," 5,318 "," 5,655 "," 5,686 "," 5,649 "," 5,316 "," 5,373 "," 5,524 "," 5,673 "," 5,606 "," 5,661 "," 5,758 "," 5,781 "," 5,931 "," 6,044 "
3.B.1.b.       Bovinos de leite," 2,216 "," 2,300 "," 2,394 "," 2,352 "," 2,416 "," 2,513 "," 2,388 "," 2,419 "," 2,433 "," 2,503 "," 2,621 "," 2,707 "," 2,772 "," 2,902 "," 3,089 "," 3,200 "," 3,331 "," 3,338 "," 3,583 "," 3,745 "," 3,926 "," 3,890 "," 4,018 "," 4,257 "," 4,342 "," 4,232 "," 4,209 "
3.B.2.     Ovinos, 72 , 72 , 72 , 64 , 66 , 66 , 54 , 54 , 53 , 54 , 55 , 55 , 54 , 55 , 57 , 60 , 61 , 62 , 63 , 64 , 66 , 67 , 64 , 66 , 67 , 71 , 71 
3.B.3.     Suínos," 6,045 "," 6,239 "," 6,341 "," 6,215 "," 6,410 "," 6,627 "," 4,930 "," 5,042 "," 5,127 "," 5,315 "," 5,491 "," 5,827 "," 5,680 "," 5,864 "," 5,932 "," 6,041 "," 6,233 "," 6,209 "," 6,324 "," 6,491 "," 6,672 "," 8,306 "," 8,211 "," 7,773 "," 8,024 "," 8,555 "," 8,622 "
3.B.4.     Outros animais, 797 , 839 , 870 , 871 , 894 , 921 , 831 , 853 , 860 , 888 , 919 , 945 , 940 , 967 , 985 ," 1,025 "," 1,034 "," 1,089 "," 1,135 "," 1,148 "," 1,161 "," 1,184 "," 1,160 "," 1,165 "," 1,221 "," 1,229 "," 1,237 "
3.B.5.     Emissões indiretas de N2O," 1,227 "," 1,302 "," 1,349 "," 1,356 "," 1,407 "," 1,453 "," 1,313 "," 1,346 "," 1,356 "," 1,419 "," 1,514 "," 1,531 "," 1,525 "," 1,573 "," 1,660 "," 1,725 "," 1,773 "," 1,880 "," 1,970 "," 2,072 "," 2,118 "," 2,324 "," 2,326 "," 2,358 "," 2,443 "," 2,459 "," 2,433 "
3.B.5.a.       Bovinos, 371 , 383 , 393 , 394 , 411 , 436 , 376 , 399 , 393 , 406 , 444 , 441 , 447 , 460 , 504 , 500 , 510 , 537 , 543 , 593 , 597 , 654 , 690 , 744 , 736 , 705 , 675 
3.B.5.a.i.         Bovinos de corte, 57 , 59 , 62 , 61 , 76 , 94 , 109 , 119 , 108 , 119 , 149 , 145 , 149 , 157 , 190 , 180 , 181 , 202 , 196 , 232 , 225 , 273 , 307 , 351 , 347 , 336 , 324 
3.B.5.a.ii.          Bovinos de leite, 314 , 323 , 331 , 332 , 334 , 342 , 268 , 280 , 285 , 287 , 294 , 296 , 298 , 303 , 314 , 320 , 328 , 335 , 347 , 361 , 372 , 381 , 383 , 393 , 389 , 369 , 350 
3.B.5.b.       Suínos , 357 , 367 , 373 , 373 , 387 , 400 , 328 , 328 , 335 , 358 , 380 , 370 , 365 , 376 , 387 , 407 , 427 , 437 , 451 , 480 , 500 , 625 , 596 , 559 , 578 , 625 , 630 
3.B.5.c.vii.           Aves, 499 , 553 , 583 , 589 , 610 , 618 , 609 , 620 , 627 , 655 , 690 , 720 , 713 , 738 , 769 , 818 , 837 , 907 , 976 ," 1,000 "," 1,021 "," 1,045 "," 1,040 "," 1,055 "," 1,129 "," 1,129 "," 1,129 "
3.C.   Cultivo de Arroz," 6,954 "," 7,567 "," 8,098 "," 8,635 "," 8,472 "," 8,654 "," 7,504 "," 7,074 "," 6,993 "," 8,280 "," 7,733 "," 7,547 "," 7,848 "," 7,584 "," 8,455 "," 8,097 "," 7,993 "," 7,606 "," 8,343 "," 8,590 "," 8,095 "," 9,082 "," 8,076 "," 8,228 "," 8,384 "," 8,976 "," 8,369 "
3.D.   Solos Manejados," 83,012 "," 84,649 "," 87,195 "," 88,383 "," 91,088 "," 92,597 "," 88,258 "," 91,355 "," 93,839 "," 94,902 "," 99,098 "," 102,861 "," 107,484 "," 118,265 "," 121,212 "," 121,910 "," 123,166 "," 126,811 "," 128,458 "," 130,443 "," 136,557 "," 140,859 "," 140,321 "," 145,081 "," 147,798 "," 148,036 "," 153,065 "
3.D.1.     Emissões diretas," 64,784 "," 66,029 "," 68,007 "," 68,802 "," 70,886 "," 72,098 "," 68,707 "," 71,066 "," 72,901 "," 73,752 "," 77,043 "," 80,013 "," 83,581 "," 91,838 "," 94,088 "," 94,576 "," 95,550 "," 98,188 "," 99,609 "," 101,093 "," 105,736 "," 108,786 "," 108,442 "," 112,025 "," 113,984 "," 114,507 "," 117,791 "
3.D.1.a.       Fertilizantes sintéticos," 3,636 "," 3,621 "," 4,012 "," 4,721 "," 5,510 "," 5,300 "," 5,637 "," 6,159 "," 6,898 "," 6,560 "," 7,907 "," 7,768 "," 8,617 "," 10,604 "," 10,690 "," 10,485 "," 10,947 "," 13,207 "," 11,939 "," 12,191 "," 13,656 "," 16,126 "," 16,645 "," 17,761 "," 18,599 "," 16,945 "," 21,019 "
3.D.1.b.       Adubos orgânicos," 2,497 "," 2,560 "," 2,709 "," 2,691 "," 2,727 "," 2,958 "," 2,730 "," 2,900 "," 2,982 "," 3,047 "," 3,149 "," 3,035 "," 3,136 "," 3,325 "," 3,608 "," 3,786 "," 3,865 "," 4,204 "," 4,594 "," 5,019 "," 5,021 "," 5,218 "," 4,898 "," 4,990 "," 5,304 "," 5,330 "," 5,346 "
3.D.1.c.       Deposição de dejetos em pastagem," 41,915 "," 43,228 "," 43,826 "," 43,829 "," 44,442 "," 45,250 "," 42,282 "," 43,063 "," 43,732 "," 44,153 "," 45,525 "," 47,437 "," 49,667 "," 52,038 "," 54,179 "," 54,866 "," 54,666 "," 53,247 "," 54,003 "," 55,115 "," 56,702 "," 57,085 "," 56,575 "," 56,496 "," 56,812 "," 57,355 "," 57,916 "
