"CO₂ 
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1.A.2.i.       Mineração (exceto combustíveis) e extração," 2,440 "," 2,415 "," 2,678 "," 2,831 "," 3,445 "," 3,352 "," 3,841 "," 3,765 "," 3,929 "," 4,623 "," 5,535 "," 5,435 "," 5,602 "," 5,586 "," 6,002 "," 6,889 "," 7,120 "," 8,210 "," 7,622 "," 5,619 "," 7,585 "," 7,901 "," 7,591 "," 7,611 "," 7,792 "," 7,763 "," 5,904 "
1.A.2.l.       Têxtil e couro," 1,620 "," 1,549 "," 1,552 "," 1,645 "," 1,383 "," 1,357 "," 1,481 "," 1,282 "," 1,297 "," 1,187 "," 1,319 "," 1,210 "," 1,284 "," 1,086 "," 1,187 "," 1,181 "," 1,180 "," 1,309 "," 1,174 "," 1,121 "," 1,055 "," 1,076 "," 1,021 "," 1,012 ", 850 , 714 , 645 
1.A.3.     Transporte," 82,338 "," 86,105 "," 86,863 "," 90,078 "," 94,432 "," 104,411 "," 112,671 "," 119,489 "," 125,674 "," 123,106 "," 124,262 "," 126,788 "," 129,522 "," 127,048 "," 135,236 "," 135,530 "," 140,238 "," 145,937 "," 151,247 "," 149,793 "," 169,010 "," 184,966 "," 201,834 "," 209,051 "," 214,361 "," 199,110 "," 199,974 "
1.A.3.a.ii.          Aviação doméstica," 5,151 "," 5,390 "," 5,067 "," 5,351 "," 5,493 "," 6,376 "," 6,807 "," 7,661 "," 8,395 "," 7,825 "," 8,327 "," 8,561 "," 8,201 "," 5,868 "," 6,261 "," 5,889 "," 6,150 "," 6,695 "," 6,621 "," 7,769 "," 9,157 "," 10,434 "," 10,616 "," 10,187 "," 10,281 "," 10,407 "," 9,733 "
1.A.3.b.       Transporte rodoviário," 72,062 "," 75,747 "," 76,624 "," 79,058 "," 84,068 "," 93,132 "," 100,174 "," 107,607 "," 112,767 "," 110,693 "," 111,723 "," 113,535 "," 115,860 "," 116,008 "," 123,053 "," 123,488 "," 127,782 "," 131,953 "," 136,924 "," 134,715 "," 151,403 "," 166,579 "," 183,002 "," 189,874 "," 194,349 "," 180,993 "," 182,869 "
1.A.3.c.       Transporte Ferroviário," 1,642 "," 1,630 "," 1,674 "," 1,701 "," 1,274 "," 1,367 "," 1,258 "," 1,021 "," 1,085 "," 1,084 "," 1,251 "," 1,419 "," 2,146 "," 2,118 "," 2,414 "," 2,556 "," 2,830 "," 3,009 "," 3,055 "," 2,959 "," 2,925 "," 2,952 "," 3,027 "," 3,003 "," 2,943 "," 2,800 "," 2,746 "
1.A.3.d.ii.          Navegação doméstica," 3,484 "," 3,337 "," 3,498 "," 3,969 "," 3,597 "," 3,537 "," 4,431 "," 3,200 "," 3,427 "," 3,503 "," 2,961 "," 3,274 "," 3,315 "," 3,054 "," 3,508 "," 3,598 "," 3,476 "," 4,280 "," 4,648 "," 4,351 "," 4,414 "," 4,239 "," 4,153 "," 4,158 "," 4,764 "," 3,093 "," 2,367 "
1.A.3.e.       Outros transportes, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,110 ", 763 ," 1,035 "," 1,829 "," 2,024 "," 1,817 "," 2,260 "
1.A.4.     Outros Setores," 26,728 "," 27,366 "," 28,198 "," 29,835 "," 31,608 "," 33,343 "," 34,059 "," 34,865 "," 34,568 "," 36,206 "," 35,745 "," 37,390 "," 36,817 "," 34,696 "," 34,988 "," 34,398 "," 34,559 "," 36,116 "," 37,848 "," 36,890 "," 37,365 "," 37,350 "," 37,943 "," 38,306 "," 39,137 "," 39,111 "," 36,177 "
1.A.4.a.       Comercial / institucional," 2,611 "," 2,479 "," 2,506 "," 2,462 "," 3,580 "," 3,694 "," 3,151 "," 3,384 "," 3,702 "," 4,412 "," 4,357 "," 4,572 "," 4,901 "," 3,849 "," 4,023 "," 3,786 "," 3,778 "," 3,989 "," 3,829 "," 3,321 "," 2,799 "," 3,049 "," 2,874 "," 2,829 "," 2,947 "," 2,781 "," 2,758 "
1.A.4.b.       Residencial," 13,964 "," 14,345 "," 14,846 "," 15,392 "," 15,374 "," 16,083 "," 16,745 "," 16,765 "," 16,821 "," 17,156 "," 17,195 "," 17,233 "," 16,675 "," 15,532 "," 15,863 "," 15,591 "," 15,616 "," 16,123 "," 16,530 "," 16,738 "," 17,249 "," 17,487 "," 17,598 "," 17,994 "," 18,002 "," 18,021 "," 18,209 "
1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura," 10,154 "," 10,542 "," 10,846 "," 11,982 "," 12,654 "," 13,567 "," 14,163 "," 14,717 "," 14,046 "," 14,638 "," 14,193 "," 15,586 "," 15,241 "," 15,315 "," 15,102 "," 15,022 "," 15,165 "," 16,004 "," 17,489 "," 16,831 "," 17,316 "," 16,814 "," 17,471 "," 17,484 "," 18,188 "," 18,309 "," 15,210 "
1.A.5.     Não Especificado," 1,612 ", 739 ," 1,121 ", 734 , 746 , 871 , 926 ," 2,330 "," 1,326 "," 1,070 "," 1,152 "," 1,192 "," 1,137 ", 770 , 828 ," 1,144 "," 1,089 "," 1,182 "," 1,874 "," 1,175 "," 1,144 ", 914 ," 1,209 "," 1,057 "," 1,234 ", 714 , 693 
1.B.   Emissões Fugitivas a Partir da Produção de Combustíveis," 6,191 "," 6,034 "," 6,234 "," 6,319 "," 6,645 "," 6,583 "," 7,154 "," 7,688 "," 8,443 "," 8,955 "," 9,434 "," 9,773 "," 10,053 "," 9,941 "," 9,396 "," 12,457 "," 11,642 "," 11,954 "," 12,532 "," 16,550 "," 13,307 "," 12,671 "," 13,494 "," 13,947 "," 15,670 "," 15,391 "," 15,840 "
1.B.1.     Combustíveis sólidos, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
1.B.2.     Petróleo e Gás Natural ," 6,191 "," 6,034 "," 6,234 "," 6,319 "," 6,645 "," 6,583 "," 7,154 "," 7,688 "," 8,443 "," 8,955 "," 9,434 "," 9,773 "," 10,053 "," 9,941 "," 9,396 "," 12,457 "," 11,642 "," 11,954 "," 12,532 "," 16,550 "," 13,307 "," 12,671 "," 13,494 "," 13,947 "," 15,670 "," 15,391 "," 15,840 "
1.C.   Transporte e armazenamento de CO2, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
