"CO₂e (GTP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.B.5.a.ii.          Bovinos de leite, 237 , 244 , 250 , 251 , 252 , 258 , 202 , 211 , 215 , 216 , 222 , 224 , 225 , 229 , 237 , 241 , 248 , 253 , 262 , 272 , 281 , 288 , 289 , 297 , 294 , 278 , 264 
3.B.5.b.       Suínos , 270 , 277 , 281 , 282 , 292 , 302 , 247 , 247 , 253 , 270 , 287 , 279 , 276 , 284 , 292 , 307 , 322 , 330 , 340 , 362 , 377 , 472 , 450 , 422 , 436 , 471 , 475 
3.B.5.c.vii.           Aves, 376 , 417 , 440 , 445 , 461 , 466 , 460 , 468 , 474 , 494 , 521 , 544 , 538 , 557 , 580 , 618 , 632 , 685 , 736 , 754 , 771 , 789 , 785 , 796 , 852 , 852 , 852 
3.C.   Cultivo de Arroz," 1,324 "," 1,441 "," 1,542 "," 1,645 "," 1,614 "," 1,648 "," 1,429 "," 1,347 "," 1,332 "," 1,577 "," 1,473 "," 1,438 "," 1,495 "," 1,445 "," 1,610 "," 1,542 "," 1,523 "," 1,449 "," 1,589 "," 1,636 "," 1,542 "," 1,730 "," 1,538 "," 1,567 "," 1,597 "," 1,710 "," 1,594 "
3.D.   Solos Manejados," 62,660 "," 63,896 "," 65,818 "," 66,715 "," 68,756 "," 69,896 "," 66,621 "," 68,958 "," 70,834 "," 71,636 "," 74,803 "," 77,643 "," 81,133 "," 89,271 "," 91,496 "," 92,022 "," 92,970 "," 95,722 "," 96,965 "," 98,463 "," 103,079 "," 106,326 "," 105,920 "," 109,512 "," 111,563 "," 111,743 "," 115,540 "
3.D.1.     Emissões diretas," 48,901 "," 49,841 "," 51,335 "," 51,934 "," 53,508 "," 54,422 "," 51,863 "," 53,644 "," 55,028 "," 55,671 "," 58,155 "," 60,397 "," 63,091 "," 69,323 "," 71,021 "," 71,390 "," 72,125 "," 74,116 "," 75,189 "," 76,309 "," 79,814 "," 82,116 "," 81,856 "," 84,561 "," 86,039 "," 86,435 "," 88,913 "
3.D.1.a.       Fertilizantes sintéticos," 2,745 "," 2,733 "," 3,028 "," 3,563 "," 4,159 "," 4,001 "," 4,255 "," 4,649 "," 5,207 "," 4,951 "," 5,969 "," 5,863 "," 6,505 "," 8,004 "," 8,069 "," 7,915 "," 8,263 "," 9,969 "," 9,012 "," 9,202 "," 10,308 "," 12,173 "," 12,564 "," 13,407 "," 14,039 "," 12,791 "," 15,866 "
3.D.1.b.       Adubos orgânicos," 1,885 "," 1,932 "," 2,045 "," 2,031 "," 2,059 "," 2,233 "," 2,061 "," 2,189 "," 2,251 "," 2,300 "," 2,377 "," 2,291 "," 2,367 "," 2,510 "," 2,723 "," 2,858 "," 2,918 "," 3,173 "," 3,467 "," 3,788 "," 3,790 "," 3,939 "," 3,697 "," 3,767 "," 4,004 "," 4,023 "," 4,035 "
3.D.1.c.       Deposição de dejetos em pastagem," 31,639 "," 32,630 "," 33,081 "," 33,084 "," 33,547 "," 34,157 "," 31,916 "," 32,505 "," 33,010 "," 33,329 "," 34,364 "," 35,807 "," 37,491 "," 39,281 "," 40,896 "," 41,415 "," 41,264 "," 40,193 "," 40,764 "," 41,603 "," 42,801 "," 43,090 "," 42,705 "," 42,645 "," 42,884 "," 43,294 "," 43,717 "
3.D.1.c.i.         Bovinos," 28,369 "," 29,320 "," 29,773 "," 29,898 "," 30,311 "," 30,879 "," 29,417 "," 29,997 "," 30,490 "," 30,760 "," 31,737 "," 33,169 "," 34,883 "," 36,668 "," 38,255 "," 38,722 "," 38,585 "," 37,604 "," 38,190 "," 39,054 "," 40,212 "," 40,480 "," 40,213 "," 40,145 "," 40,355 "," 40,706 "," 41,117 "
