"N₂O
 (Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1.A.3.     Transporte, 3.67 , 3.80 , 3.82 , 3.94 , 4.17 , 5.00 , 5.87 , 6.57 , 7.28 , 7.46 , 7.61 , 7.93 , 8.59 , 8.69 , 9.33 , 9.61 , 9.70 , 10.52 , 11.55 , 11.87 , 13.37 , 14.54 , 15.69 , 16.72 , 17.74 , 17.54 , 17.42 
1.A.3.a.ii.          Aviação doméstica, 0.14 , 0.15 , 0.14 , 0.15 , 0.15 , 0.18 , 0.19 , 0.21 , 0.23 , 0.22 , 0.23 , 0.24 , 0.23 , 0.16 , 0.17 , 0.16 , 0.17 , 0.18 , 0.18 , 0.21 , 0.25 , 0.28 , 0.29 , 0.28 , 0.28 , 0.28 , 0.26 
1.A.3.b.       Transporte rodoviário, 2.81 , 2.94 , 2.95 , 3.03 , 3.44 , 4.20 , 5.08 , 5.89 , 6.54 , 6.74 , 6.82 , 7.07 , 7.44 , 7.63 , 8.14 , 8.37 , 8.35 , 9.06 , 10.04 , 10.36 , 11.82 , 12.95 , 14.07 , 15.12 , 16.13 , 16.01 , 15.96 
1.A.3.c.       Transporte Ferroviário, 0.63 , 0.63 , 0.65 , 0.66 , 0.49 , 0.53 , 0.49 , 0.39 , 0.42 , 0.42 , 0.48 , 0.55 , 0.83 , 0.82 , 0.93 , 0.99 , 1.09 , 1.17 , 1.21 , 1.18 , 1.18 , 1.20 , 1.23 , 1.22 , 1.20 , 1.16 , 1.13 
1.A.3.d.ii.          Navegação doméstica, 0.09 , 0.09 , 0.09 , 0.10 , 0.09 , 0.09 , 0.12 , 0.08 , 0.09 , 0.09 , 0.08 , 0.09 , 0.09 , 0.08 , 0.09 , 0.09 , 0.09 , 0.11 , 0.12 , 0.11 , 0.12 , 0.11 , 0.11 , 0.11 , 0.12 , 0.08 , 0.06 
1.A.3.e.       Outros transportes, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
1.A.4.     Outros Setores, 4.22 , 4.22 , 4.22 , 3.89 , 3.84 , 3.66 , 3.65 , 3.71 , 3.73 , 3.84 , 3.86 , 4.04 , 4.37 , 4.52 , 4.60 , 4.66 , 4.70 , 4.60 , 4.69 , 4.57 , 4.54 , 4.23 , 4.24 , 4.01 , 4.23 , 4.36 , 4.08 
1.A.4.a.       Comercial / institucional, 0.05 , 0.05 , 0.05 , 0.04 , 0.05 , 0.05 , 0.04 , 0.05 , 0.05 , 0.06 , 0.06 , 0.06 , 0.06 , 0.06 , 0.07 , 0.06 , 0.07 , 0.07 , 0.07 , 0.06 , 0.06 , 0.07 , 0.07 , 0.07 , 0.07 , 0.07 , 0.07 
1.A.4.b.       Residencial, 3.29 , 3.28 , 3.29 , 2.92 , 2.85 , 2.62 , 2.59 , 2.62 , 2.69 , 2.78 , 2.85 , 2.96 , 3.27 , 3.37 , 3.42 , 3.48 , 3.49 , 3.33 , 3.30 , 3.24 , 3.15 , 2.86 , 2.85 , 2.57 , 2.72 , 2.80 , 2.70 
1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura, 0.88 , 0.89 , 0.88 , 0.93 , 0.95 , 0.99 , 1.01 , 1.03 , 0.99 , 1.00 , 0.96 , 1.01 , 1.04 , 1.09 , 1.11 , 1.12 , 1.14 , 1.21 , 1.33 , 1.27 , 1.33 , 1.30 , 1.32 , 1.37 , 1.44 , 1.49 , 1.31 
1.A.5.     Não Especificado, 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.03 , 0.04 , 0.03 , 0.03 , 0.03 , 0.03 , 0.03 , 0.02 , 0.02 , 0.03 , 0.03 , 0.03 , 0.05 , 0.03 , 0.03 , 0.02 , 0.03 , 0.03 , 0.03 , 0.02 , 0.02 
1.B.   Emissões Fugitivas a Partir da Produção de Combustíveis, 0.06 , 0.06 , 0.06 , 0.06 , 0.06 , 0.06 , 0.07 , 0.07 , 0.08 , 0.09 , 0.11 , 0.11 , 0.12 , 0.12 , 0.11 , 0.21 , 0.16 , 0.15 , 0.17 , 0.29 , 0.20 , 0.19 , 0.17 , 0.17 , 0.23 , 0.23 , 0.23 
1.B.1.     Combustíveis sólidos, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
1.B.2.     Petróleo e Gás Natural , 0.06 , 0.06 , 0.06 , 0.06 , 0.06 , 0.06 , 0.07 , 0.07 , 0.08 , 0.09 , 0.11 , 0.11 , 0.12 , 0.12 , 0.11 , 0.21 , 0.16 , 0.15 , 0.17 , 0.29 , 0.20 , 0.19 , 0.17 , 0.17 , 0.23 , 0.23 , 0.23 
1.C.   Transporte e armazenamento de CO2, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
