"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1.A.2.i.       Mineração (exceto combustíveis) e extração," 2,457 "," 2,432 "," 2,695 "," 2,842 "," 3,458 "," 3,363 "," 3,855 "," 3,779 "," 3,943 "," 4,640 "," 5,556 "," 5,455 "," 5,624 "," 5,608 "," 6,026 "," 6,917 "," 7,149 "," 8,242 "," 7,653 "," 5,640 "," 7,613 "," 7,931 "," 7,619 "," 7,639 "," 7,821 "," 7,793 "," 5,925 "
1.A.2.l.       Têxtil e couro," 1,640 "," 1,567 "," 1,566 "," 1,660 "," 1,398 "," 1,372 "," 1,496 "," 1,295 "," 1,310 "," 1,200 "," 1,333 "," 1,223 "," 1,297 "," 1,101 "," 1,202 "," 1,195 "," 1,195 "," 1,324 "," 1,189 "," 1,135 "," 1,069 "," 1,090 "," 1,034 "," 1,025 ", 862 , 725 , 656 
1.A.3.     Transporte," 84,889 "," 88,771 "," 89,495 "," 92,737 "," 97,192 "," 107,494 "," 116,090 "," 123,078 "," 129,400 "," 126,753 "," 127,791 "," 130,311 "," 133,210 "," 130,716 "," 139,120 "," 139,470 "," 144,170 "," 150,185 "," 155,818 "," 154,414 "," 174,099 "," 190,390 "," 207,612 "," 215,132 "," 220,737 "," 205,367 "," 206,151 "
1.A.3.a.ii.          Aviação doméstica," 5,195 "," 5,436 "," 5,111 "," 5,397 "," 5,540 "," 6,431 "," 6,866 "," 7,727 "," 8,467 "," 7,892 "," 8,399 "," 8,634 "," 8,271 "," 5,918 "," 6,314 "," 5,938 "," 6,202 "," 6,751 "," 6,676 "," 7,834 "," 9,234 "," 10,522 "," 10,705 "," 10,273 "," 10,368 "," 10,495 "," 9,815 "
1.A.3.b.       Transporte rodoviário," 74,338 "," 78,138 "," 78,975 "," 81,426 "," 86,590 "," 95,960 "," 103,339 "," 110,975 "," 116,255 "," 114,107 "," 114,999 "," 116,780 "," 119,184 "," 119,339 "," 126,556 "," 127,033 "," 131,285 "," 135,734 "," 141,014 "," 138,857 "," 155,999 "," 171,497 "," 188,265 "," 195,444 "," 200,214 "," 186,768 "," 188,583 "
1.A.3.c.       Transporte Ferroviário," 1,838 "," 1,826 "," 1,876 "," 1,907 "," 1,429 "," 1,532 "," 1,410 "," 1,144 "," 1,217 "," 1,215 "," 1,402 "," 1,590 "," 2,406 "," 2,374 "," 2,706 "," 2,865 "," 3,173 "," 3,376 "," 3,433 "," 3,328 "," 3,296 "," 3,326 "," 3,411 "," 3,384 "," 3,318 "," 3,162 "," 3,101 "
1.A.3.d.ii.          Navegação doméstica," 3,519 "," 3,370 "," 3,533 "," 4,008 "," 3,633 "," 3,572 "," 4,475 "," 3,233 "," 3,461 "," 3,539 "," 2,991 "," 3,307 "," 3,349 "," 3,085 "," 3,544 "," 3,634 "," 3,511 "," 4,323 "," 4,694 "," 4,395 "," 4,459 "," 4,281 "," 4,195 "," 4,200 "," 4,811 "," 3,124 "," 2,390 "
1.A.3.e.       Outros transportes, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,111 ", 764 ," 1,036 "," 1,830 "," 2,026 "," 1,818 "," 2,262 "
1.A.4.     Outros Setores," 35,205 "," 35,777 "," 36,554 "," 37,233 "," 38,813 "," 39,957 "," 40,563 "," 41,444 "," 41,261 "," 43,092 "," 42,751 "," 44,685 "," 44,910 "," 43,121 "," 43,548 "," 43,122 "," 43,335 "," 44,507 "," 46,211 "," 45,066 "," 45,332 "," 44,576 "," 45,140 "," 44,849 "," 46,077 "," 46,294 "," 43,003 "
1.A.4.a.       Comercial / institucional," 2,708 "," 2,575 "," 2,602 "," 2,556 "," 3,671 "," 3,782 "," 3,242 "," 3,474 "," 3,790 "," 4,501 "," 4,441 "," 4,654 "," 4,979 "," 3,936 "," 4,107 "," 3,871 "," 3,865 "," 4,080 "," 3,921 "," 3,411 "," 2,898 "," 3,156 "," 2,981 "," 2,935 "," 3,055 "," 2,886 "," 2,860 "
1.A.4.b.       Residencial," 21,666 "," 22,012 "," 22,519 "," 22,119 "," 21,911 "," 22,011 "," 22,555 "," 22,648 "," 22,844 "," 23,377 "," 23,566 "," 23,878 "," 24,092 "," 23,226 "," 23,667 "," 23,548 "," 23,608 "," 23,688 "," 24,001 "," 24,058 "," 24,317 "," 23,827 "," 23,906 "," 23,600 "," 23,972 "," 24,201 "," 24,126 "
1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura," 10,831 "," 11,190 "," 11,434 "," 12,558 "," 13,231 "," 14,163 "," 14,766 "," 15,322 "," 14,627 "," 15,214 "," 14,743 "," 16,153 "," 15,839 "," 15,958 "," 15,774 "," 15,703 "," 15,863 "," 16,740 "," 18,290 "," 17,596 "," 18,117 "," 17,593 "," 18,253 "," 18,314 "," 19,049 "," 19,207 "," 16,018 "
1.A.5.     Não Especificado," 1,621 ", 745 ," 1,128 ", 740 , 752 , 878 , 934 ," 2,343 "," 1,337 "," 1,079 "," 1,162 "," 1,203 "," 1,147 ", 777 , 835 ," 1,153 "," 1,098 "," 1,192 "," 1,890 "," 1,185 "," 1,153 ", 922 ," 1,219 "," 1,065 "," 1,244 ", 720 , 699 
1.B.   Emissões Fugitivas a Partir da Produção de Combustíveis," 8,170 "," 8,095 "," 8,097 "," 8,258 "," 8,533 "," 8,468 "," 8,827 "," 9,607 "," 10,519 "," 11,217 "," 12,070 "," 12,805 "," 12,932 "," 12,255 "," 12,313 "," 16,936 "," 15,399 "," 15,604 "," 16,285 "," 21,691 "," 17,216 "," 16,264 "," 17,383 "," 17,872 "," 19,638 "," 19,423 "," 19,807 "
1.B.1.     Combustíveis sólidos," 1,091 "," 1,185 ", 973 ," 1,031 ", 944 , 918 , 590 , 755 , 746 , 781 , 995 ," 1,315 ", 978 , 911 ," 1,062 "," 1,093 "," 1,068 "," 1,203 "," 1,301 "," 1,153 ", 891 , 987 ," 1,051 "," 1,314 "," 1,205 "," 1,112 "," 1,010 "
1.B.2.     Petróleo e Gás Natural ," 7,079 "," 6,910 "," 7,124 "," 7,227 "," 7,589 "," 7,550 "," 8,237 "," 8,852 "," 9,773 "," 10,436 "," 11,075 "," 11,490 "," 11,954 "," 11,344 "," 11,250 "," 15,842 "," 14,332 "," 14,401 "," 14,984 "," 20,539 "," 16,325 "," 15,277 "," 16,332 "," 16,558 "," 18,433 "," 18,310 "," 18,797 "
1.C.   Transporte e armazenamento de CO2, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
