"Ministério da Ciência, Tecnologia e Inovações","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sistema de Registro Nacional de Emissões (SIRENE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resultados do 4º Inventário Nacional (1990- 2016) por Unidade Federativa - setor Resíduos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Espírito Santo","  415 ","  429 ","  455 ","  485 ","  512 ","  534 ","  571 ","  585 ","  609 ","  639 ","  691 ","  801 ","  849 ","  903 ","  943 ","  996 ","  1,039 ","  1,051 ","  1,034 ","  1,017 ","  1,045 ","  1,103 ","  1,175 ","  1,216 ","  1,304 ","  1,294 ","  1,316 "
"Rio de Janeiro","  3,334 ","  3,592 ","  3,729 ","  3,911 ","  4,072 ","  4,263 ","  4,345 ","  4,558 ","  4,715 ","  4,843 ","  4,938 ","  5,336 ","  5,604 ","  5,805 ","  6,163 ","  6,604 ","  6,835 ","  6,966 ","  7,085 ","  7,214 ","  6,826 ","  6,655 ","  6,500 ","  6,534 ","  6,555 ","  6,621 ","  7,008 "
"São Paulo","  7,303 ","  7,696 ","  8,036 ","  8,487 ","  8,951 ","  9,467 ","  9,970 ","  9,997 ","  10,031 ","  10,451 ","  10,805 ","  11,585 ","  11,667 ","  11,974 ","  11,287 ","  11,632 ","  12,083 ","  11,350 ","  10,629 ","  10,923 ","  10,989 ","  11,370 ","  11,630 ","  13,616 ","  13,108 ","  13,786 ","  14,263 "
"Paraná","  1,481 ","  1,523 ","  1,576 ","  1,657 ","  1,738 ","  1,823 ","  1,939 ","  2,055 ","  2,153 ","  2,284 ","  2,337 ","  2,488 ","  2,557 ","  2,632 ","  2,743 ","  2,869 ","  3,001 ","  2,997 ","  3,138 ","  3,280 ","  3,409 ","  3,493 ","  3,535 ","  3,728 ","  3,737 ","  3,783 ","  3,895 "
"Santa Catarina","  814 ","  846 ","  875 ","  914 ","  958 ","  1,008 ","  1,061 ","  1,094 ","  1,141 ","  1,194 ","  1,258 ","  1,371 ","  1,394 ","  1,437 ","  1,513 ","  1,608 ","  1,682 ","  1,699 ","  1,732 ","  1,645 ","  1,706 ","  1,748 ","  1,723 ","  1,897 ","  2,120 ","  2,123 ","  2,195 "
"Rio Grande do Sul","  1,881 ","  1,930 ","  2,037 ","  2,173 ","  2,244 ","  2,330 ","  2,463 ","  2,561 ","  2,626 ","  2,720 ","  2,693 ","  2,849 ","  2,870 ","  2,934 ","  2,998 ","  3,052 ","  3,095 ","  3,117 ","  3,102 ","  3,186 ","  3,053 ","  3,238 ","  3,152 ","  3,206 ","  3,219 ","  3,187 ","  3,255 "
"Mato Grosso do Sul","  353 ","  379 ","  395 ","  412 ","  439 ","  462 ","  477 ","  491 ","  504 ","  521 ","  556 ","  610 ","  641 ","  666 ","  696 ","  709 ","  725 ","  764 ","  772 ","  840 ","  841 ","  888 ","  994 ","  1,104 ","  1,064 ","  1,138 ","  1,178 "
"Mato Grosso","  294 ","  308 ","  316 ","  315 ","  330 ","  345 ","  378 ","  388 ","  425 ","  463 ","  519 ","  585 ","  622 ","  650 ","  716 ","  730 ","  756 ","  779 ","  794 ","  851 ","  892 ","  945 ","  999 ","  1,145 ","  1,041 ","  1,028 ","  1,136 "
"Goiás","  732 ","  750 ","  755 ","  860 ","  867 ","  886 ","  963 ","  1,005 ","  1,042 ","  1,101 ","  1,249 ","  1,335 ","  1,398 ","  1,476 ","  1,594 ","  1,682 ","  1,735 ","  1,696 ","  1,807 ","  1,884 ","  1,976 ","  2,044 ","  2,130 ","  2,337 ","  2,306 ","  2,353 ","  2,443 "
"Distrito Federal","  313 ","  365 ","  396 ","  431 ","  464 ","  501 ","  547 ","  576 ","  602 ","  654 ","  711 ","  716 ","  776 ","  829 ","  877 ","  919 ","  962 ","  1,012 ","  1,075 ","  1,158 ","  1,241 ","  1,274 ","  1,309 ","  1,259 ","  1,283 ","  1,279 ","  1,195 "
"Brasil","  26,194 ","  27,788 ","  28,697 ","  30,827 ","  32,426 ","  34,257 ","  35,969 ","  37,158 ","  38,487 ","  40,406 ","  42,578 ","  45,129 ","  46,731 ","  48,582 ","  49,385 ","  51,618 ","  53,482 ","  53,515 ","  54,530 ","  56,008 ","  56,672 ","  57,850 ","  58,664 ","  62,867 ","  62,931 ","  64,198 ","  65,954 "
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
