"Ministério da Ciência, Tecnologia e Inovações","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sistema de Registro Nacional de Emissões (SIRENE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resultados do 4º Inventário Nacional (1990- 2016) por Unidade Federativa - setor LULUCF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Sergipe","  514 ","  514 ","  521 ","  517 ","  514 ","  873 ","  799 ","  799 ","  799 ","  799 ","  800 ","  572 ","  572 ","  1,283 ","  1,283 ","  1,345 ","  1,409 ","  1,348 ","  1,346 ","  427 ","  503 ","  64 ","  944 ","  213 ","  39 ","  400 ","  178 "
"Bahia","  17,044 ","  16,826 ","  16,825 ","  16,704 ","  16,060 ","  19,245 ","  20,604 ","  19,685 ","  17,964 ","  17,458 ","  14,615 ","  34,505 ","  34,348 ","  54,598 ","  54,339 ","  41,006 ","  46,155 ","  47,275 ","  47,892 ","  23,662 ","  6,535 ","  22,980 ","  25,588 ","  26,702 ","  18,144 ","  20,679 ","  14,682 "
"Minas Gerais","  20,598 ","  20,508 ","  20,912 ","  20,844 ","  20,662 ","  34,319 ","  28,035 ","  34,162 ","  29,137 ","  33,505 ","  34,057 ","  20,979 ","  20,928 ","  63,158 ","  68,178 ","  27,103 ","  31,488 ","  20,926 ","  20,298 ","- 5,047 ","- 5,427 ","  16,862 ","  20,575 ","  29,907 ","  27,938 ","  9,486 ","- 12,398 "
"Espírito Santo","  924 ","  323 ","  114 ","  336 ","- 527 ","  2,043 ","  651 ","  79 ","  567 ","  139 ","- 731 ","- 3,135 ","- 3,708 ","- 3,559 ","- 3,690 ","- 3,951 ","- 3,898 ","- 3,471 ","- 3,992 ","- 3,951 ","- 3,946 ","  316 ","- 2,091 ","- 2,547 ","- 2,864 ","- 933 ","  61 "
"Rio de Janeiro","  2,732 ","  2,729 ","  2,721 ","  2,759 ","  2,734 ","  7,859 ","- 146 ","- 165 ","- 165 ","- 164 ","- 164 ","- 332 ","- 375 ","- 33 ","- 44 ","- 117 ","  752 ","  793 ","  739 ","- 187 ","- 174 ","- 128 ","  171 ","- 303 ","- 165 ","- 163 ","- 235 "
"São Paulo","  1,858 ","  969 ","  1,371 ","  1,650 ","  1,843 ","  11,549 ","  5,424 ","  1,104 ","  1,226 ","- 823 ","  110 ","- 9,427 ","- 10,424 ","  10,913 ","  7,365 ","  7,761 ","  4,627 ","- 14,582 ","- 13,078 ","- 13,074 ","- 14,811 ","- 6,977 ","- 5,581 ","- 4,207 ","- 3,108 ","- 7,785 ","- 1,790 "
"Paraná","  536 ","- 699 ","- 736 ","- 1,501 ","- 2,188 ","  4,268 ","  20,481 ","  16,358 ","  17,378 ","  16,451 ","  16,779 ","- 8,604 ","- 7,822 ","  3,468 ","  2,988 ","  1,158 ","- 7,004 ","- 8,125 ","- 7,326 ","- 12,422 ","- 12,360 ","- 9,064 ","- 2,450 ","- 1,453 ","- 8,086 ","- 3,581 ","- 3,477 "
"Santa Catarina","  4,047 ","  3,009 ","  3,156 ","  2,812 ","  323 ","  9,474 ","  3,641 ","  1,127 ","  1,792 ","  11 ","- 641 ","- 6,769 ","- 6,935 ","- 5,130 ","- 7,021 ","- 6,190 ","- 7,054 ","- 6,244 ","- 5,715 ","- 14,815 ","- 16,081 ","- 6,248 ","- 4,511 ","- 1,774 ","  589 ","- 2,793 ","- 2,844 "
"Rio Grande do Sul","  7,670 ","  7,521 ","  7,544 ","  6,995 ","  6,788 ","  12,145 ","  6,239 ","  4,988 ","  5,008 ","  4,874 ","  4,617 ","  1,999 ","  1,575 ","  10,287 ","  9,835 ","  9,371 ","  11,543 ","  11,432 ","  11,301 ","  8,962 ","  15,550 ","  5,003 ","  5,304 ","  5,806 ","  3,467 ","  4,439 ","  4,509 "
"Mato Grosso do Sul","  22,503 ","  22,397 ","  22,771 ","  22,687 ","  22,532 ","  21,846 ","  27,460 ","  27,454 ","  27,144 ","  27,016 ","  26,968 ","  19,468 ","  19,447 ","  114,769 ","  114,602 ","  73,859 ","  71,806 ","  38,313 ","  37,870 ","  12,737 ","  12,153 ","  9,038 ","  7,613 ","  15,669 ","  3,380 ","  20,232 ","  3,299 "
"Mato Grosso","  231,990 ","  192,716 ","  223,666 ","  237,633 ","  235,777 ","  480,989 ","  312,604 ","  260,945 ","  304,705 ","  334,180 ","  298,362 ","  368,462 ","  366,178 ","  649,539 ","  735,374 ","  378,713 ","  294,690 ","  170,731 ","  210,940 ","  28,101 ","  16,048 ","  93,985 ","  60,249 ","  116,650 ","  87,207 ","  157,300 ","  131,626 "
"Goiás","  34,583 ","  34,518 ","  35,197 ","  34,967 ","  34,693 ","  47,503 ","  48,045 ","  48,015 ","  48,046 ","  47,910 ","  47,969 ","  47,416 ","  46,641 ","  100,810 ","  100,800 ","  29,542 ","  29,033 ","  14,318 ","  14,346 ","  13,579 ","  13,537 ","  22,439 ","  22,529 ","  38,688 ","  29,110 ","  29,074 ","  11,961 "
"Distrito Federal","  145 ","  155 ","  169 ","  163 ","  163 ","  294 ","  281 ","  259 ","  294 ","  296 ","  296 ","  296 ","  296 ","  1,261 ","  1,261 ","  139 ","  139 ","- 177 ","- 177 ","- 130 ","- 130 ","- 59 ","- 60 ","  110 ","  438 ","- 138 ","- 226 "
"Brasil","  907,520 ","  725,889 ","  838,599 ","  875,589 ","  853,406 ","  1,966,770 ","  1,243,730 ","  910,578 ","  1,169,694 ","  1,123,756 ","  1,175,013 ","  1,120,206 ","  1,328,955 ","  2,411,440 ","  2,605,124 ","  1,564,054 ","  1,196,614 ","  845,990 ","  955,159 ","  318,030 ","  252,508 ","  328,904 ","  178,881 ","  384,572 ","  240,120 ","  364,982 ","  397,357 "
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
