"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Bahia","  57,372 ","  58,044 ","  59,725 ","  55,361 ","  54,751 ","  58,571 ","  60,558 ","  60,961 ","  59,343 ","  59,497 ","  57,763 ","  79,554 ","  78,484 ","  100,092 ","  102,460 ","  89,882 ","  96,643 ","  100,544 ","  102,349 ","  75,770 ","  60,365 ","  78,015 ","  80,625 ","  86,497 ","  78,478 ","  76,679 ","  67,606 "
"Minas Gerais","  100,080 ","  103,743 ","  102,687 ","  104,197 ","  103,830 ","  120,676 ","  114,520 ","  125,069 ","  121,748 ","  125,275 ","  128,320 ","  115,315 ","  116,197 ","  159,733 ","  168,849 ","  129,889 ","  137,282 ","  133,369 ","  132,979 ","  100,961 ","  110,983 ","  136,722 ","  144,062 ","  155,093 ","  153,633 ","  129,270 ","  108,309 "
"Espírito Santo","  14,995 ","  15,358 ","  15,134 ","  15,863 ","  15,749 ","  19,112 ","  16,719 ","  17,265 ","  18,524 ","  17,825 ","  19,619 ","  16,408 ","  16,457 ","  17,263 ","  16,148 ","  16,823 ","  17,974 ","  21,742 ","  24,003 ","  19,817 ","  24,113 ","  31,421 ","  28,022 ","  29,061 ","  31,250 ","  33,546 ","  32,894 "
"Rio de Janeiro","  45,752 ","  44,538 ","  44,599 ","  46,204 ","  48,409 ","  56,888 ","  52,078 ","  54,631 ","  53,299 ","  55,011 ","  58,501 ","  61,789 ","  63,218 ","  62,110 ","  64,907 ","  70,689 ","  73,133 ","  77,710 ","  85,973 ","  82,551 ","  81,825 ","  80,785 ","  90,127 ","  97,679 ","  104,027 ","  100,434 ","  92,318 "
"São Paulo","  107,593 ","  109,287 ","  111,391 ","  114,758 ","  118,383 ","  133,685 ","  130,227 ","  130,757 ","  133,091 ","  135,827 ","  139,372 ","  132,082 ","  130,904 ","  152,080 ","  152,742 ","  148,899 ","  148,396 ","  126,550 ","  127,097 ","  122,003 ","  130,447 ","  145,121 ","  152,412 ","  158,353 ","  155,760 ","  146,232 ","  149,019 "
"Paraná","  36,979 ","  36,523 ","  36,703 ","  37,316 ","  39,584 ","  47,231 ","  66,576 ","  63,164 ","  66,616 ","  63,777 ","  63,969 ","  39,475 ","  39,895 ","  53,640 ","  54,460 ","  53,154 ","  42,341 ","  43,718 ","  45,687 ","  39,652 ","  42,715 ","  47,431 ","  57,388 ","  60,578 ","  54,895 ","  58,546 ","  58,545 "
"Santa Catarina","  19,826 ","  19,398 ","  19,886 ","  20,411 ","  17,937 ","  28,011 ","  22,149 ","  20,440 ","  21,747 ","  20,668 ","  20,961 ","  15,530 ","  15,538 ","  17,648 ","  17,044 ","  18,256 ","  17,995 ","  19,650 ","  21,635 ","  12,368 ","  12,681 ","  24,427 ","  27,103 ","  30,854 ","  33,610 ","  29,323 ","  30,232 "
"Rio Grande do Sul","  61,486 ","  61,116 ","  63,510 ","  64,644 ","  64,966 ","  69,773 ","  60,236 ","  60,754 ","  61,770 ","  63,247 ","  63,610 ","  62,358 ","  62,532 ","  72,264 ","  72,972 ","  69,535 ","  73,427 ","  72,749 ","  75,429 ","  73,522 ","  83,165 ","  75,681 ","  74,099 ","  78,130 ","  75,810 ","  78,650 ","  76,023 "
"Mato Grosso do Sul","  62,260 ","  62,976 ","  64,689 ","  67,606 ","  68,404 ","  67,855 ","  69,549 ","  70,396 ","  70,996 ","  71,141 ","  72,527 ","  66,452 ","  66,733 ","  165,524 ","  165,381 ","  124,011 ","  120,224 ","  83,145 ","  84,441 ","  59,188 ","  61,661 ","  55,994 ","  57,240 ","  66,980 ","  56,120 ","  73,724 ","  55,453 "
"Mato Grosso","  255,405 ","  217,556 ","  249,377 ","  266,717 ","  267,418 ","  515,057 ","  348,189 ","  298,328 ","  343,873 ","  374,473 ","  343,102 ","  415,161 ","  417,373 ","  706,316 ","  796,405 ","  438,218 ","  351,843 ","  228,379 ","  269,839 ","  89,052 ","  81,603 ","  160,619 ","  128,870 ","  186,888 ","  158,445 ","  229,998 ","  206,014 "
"Goiás","  75,077 ","  77,016 ","  77,618 ","  78,975 ","  78,306 ","  91,735 ","  89,576 ","  90,095 ","  92,710 ","  93,655 ","  95,039 ","  95,543 ","  96,622 ","  151,446 ","  152,775 ","  82,047 ","  80,889 ","  66,508 ","  68,420 ","  67,285 ","  72,201 ","  82,556 ","  85,512 ","  102,320 ","  94,269 ","  92,897 ","  76,119 "
"Distrito Federal","  3,587 ","  3,756 ","  3,796 ","  3,942 ","  4,033 ","  4,475 ","  4,944 ","  5,387 ","  5,681 ","  5,359 ","  5,476 ","  5,574 ","  5,677 ","  6,487 ","  6,621 ","  5,598 ","  5,590 ","  5,550 ","  5,578 ","  5,887 ","  6,679 ","  7,239 ","  7,567 ","  7,973 ","  8,741 ","  7,808 ","  7,273 "
"Brasil","  1,509,585 ","  1,346,955 ","  1,469,009 ","  1,520,680 ","  1,516,457 ","  2,655,220 ","  1,929,841 ","  1,624,484 ","  1,902,850 ","  1,872,204 ","  1,949,629 ","  1,916,091 ","  2,140,470 ","  3,245,248 ","  3,476,049 ","  2,445,909 ","  2,086,090 ","  1,748,448 ","  1,884,601 ","  1,232,275 ","  1,229,044 ","  1,333,482 ","  1,217,371 ","  1,465,368 ","  1,351,671 ","  1,455,959 ","  1,467,255 "
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
