"Ministério da Ciência, Tecnologia e Inovações","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sistema de Registro Nacional de Emissões (SIRENE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resultados do 4º Inventário Nacional (1990- 2016) por Unidade Federativa - Setor Agropecuária","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Bahia","  24,227 ","  25,044 ","  25,755 ","  21,748 ","  21,734 ","  21,699 ","  20,538 ","  20,926 ","  19,934 ","  20,275 ","  21,352 ","  21,805 ","  21,436 ","  22,510 ","  23,275 ","  23,179 ","  23,681 ","  24,426 ","  23,898 ","  22,864 ","  23,596 ","  23,096 ","  21,464 ","  22,688 ","  23,097 ","  22,426 ","  21,605 "
"Minas Gerais","  44,162 ","  44,677 ","  45,147 ","  45,599 ","  45,203 ","  44,209 ","  42,442 ","  43,444 ","  44,191 ","  43,696 ","  44,251 ","  44,511 ","  44,574 ","  46,290 ","  47,693 ","  48,025 ","  49,813 ","  50,036 ","  49,420 ","  49,667 ","  51,551 ","  53,698 ","  54,320 ","  54,462 ","  54,280 ","  53,615 ","  54,664 "
"Espírito Santo","  3,877 ","  4,054 ","  4,109 ","  4,481 ","  4,514 ","  4,598 ","  3,972 ","  4,283 ","  4,313 ","  4,213 ","  4,247 ","  3,821 ","  3,821 ","  4,098 ","  4,277 ","  4,606 ","  4,711 ","  4,764 ","  4,658 ","  4,886 ","  4,933 ","  4,937 ","  5,090 ","  5,018 ","  5,230 ","  4,967 ","  4,683 "
"Rio de Janeiro","  4,458 ","  4,495 ","  4,534 ","  4,566 ","  4,608 ","  4,472 ","  4,231 ","  4,204 ","  4,262 ","  4,214 ","  4,399 ","  4,419 ","  4,341 ","  4,420 ","  4,538 ","  4,576 ","  4,575 ","  4,411 ","  4,503 ","  4,543 ","  4,641 ","  4,584 ","  4,686 ","  4,855 ","  4,886 ","  4,775 ","  4,865 "
"São Paulo","  31,246 ","  31,458 ","  31,788 ","  32,476 ","  33,942 ","  33,753 ","  32,241 ","  32,675 ","  32,742 ","  32,787 ","  32,936 ","  33,375 ","  33,849 ","  36,055 ","  35,298 ","  35,201 ","  35,262 ","  34,094 ","  32,719 ","  32,602 ","  33,403 ","  33,328 ","  32,806 ","  32,382 ","  31,607 ","  31,685 ","  34,249 "
"Paraná","  21,476 ","  21,288 ","  21,187 ","  22,260 ","  23,237 ","  23,391 ","  24,051 ","  24,245 ","  24,433 ","  24,127 ","  24,694 ","  25,587 ","  25,602 ","  27,954 ","  27,749 ","  26,339 ","  25,711 ","  26,781 ","  27,233 ","  27,067 ","  27,530 ","  28,025 ","  28,314 ","  28,886 ","  29,018 ","  29,845 ","  30,307 "
"Santa Catarina","  8,138 ","  8,185 ","  8,460 ","  8,443 ","  8,528 ","  8,664 ","  8,400 ","  8,590 ","  8,515 ","  8,477 ","  8,847 ","  9,197 ","  9,444 ","  9,796 ","  10,078 ","  10,242 ","  10,495 ","  10,838 ","  11,770 ","  11,800 ","  11,946 ","  12,711 ","  12,701 ","  12,837 ","  12,888 ","  12,805 ","  13,510 "
"Rio Grande do Sul","  36,983 ","  36,820 ","  38,455 ","  39,934 ","  40,486 ","  39,167 ","  34,821 ","  35,532 ","  35,819 ","  36,572 ","  36,399 ","  37,412 ","  37,828 ","  39,063 ","  39,249 ","  36,591 ","  37,797 ","  37,298 ","  39,322 ","  40,390 ","  41,312 ","  42,847 ","  40,702 ","  42,827 ","  42,972 ","  42,409 ","  42,770 "
"Mato Grosso do Sul","  35,803 ","  36,402 ","  37,702 ","  40,627 ","  41,536 ","  41,360 ","  37,311 ","  37,961 ","  38,780 ","  38,946 ","  40,337 ","  41,554 ","  41,601 ","  45,053 ","  44,886 ","  43,944 ","  42,710 ","  39,557 ","  41,032 ","  40,908 ","  42,154 ","  39,886 ","  40,736 ","  40,458 ","  40,744 ","  41,573 ","  42,778 "
"Mato Grosso","  18,596 ","  19,941 ","  20,507 ","  23,671 ","  25,660 ","  27,530 ","  29,316 ","  30,954 ","  32,340 ","  33,124 ","  37,233 ","  39,488 ","  43,419 ","  48,686 ","  52,170 ","  51,419 ","  49,615 ","  49,625 ","  51,126 ","  53,256 ","  57,277 ","  57,710 ","  58,479 ","  59,209 ","  60,084 ","  62,013 ","  64,128 "
"Goiás","  34,866 ","  36,606 ","  36,072 ","  37,100 ","  36,521 ","  36,507 ","  33,087 ","  33,340 ","  35,085 ","  35,739 ","  36,601 ","  37,719 ","  39,459 ","  40,014 ","  40,660 ","  40,774 ","  40,403 ","  40,047 ","  41,052 ","  41,289 ","  43,477 ","  44,371 ","  45,282 ","  44,802 ","  45,143 ","  45,618 ","  47,917 "
"Distrito Federal","  347 ","  347 ","  360 ","  369 ","  385 ","  400 ","  397 ","  416 ","  402 ","  393 ","  411 ","  415 ","  429 ","  452 ","  454 ","  463 ","  439 ","  465 ","  430 ","  449 ","  467 ","  524 ","  515 ","  526 ","  596 ","  522 ","  532 "
"Brasil","  329,510 ","  338,551 ","  343,784 ","  349,092 ","  356,668 ","  359,245 ","  338,622 ","  346,187 ","  351,916 ","  356,397 ","  370,116 ","  384,055 ","  395,192 ","  422,281 ","  438,856 ","  437,959 ","  438,185 ","  428,828 ","  436,739 ","  441,751 ","  458,092 ","  462,808 ","  461,832 ","  467,187 ","  472,596 ","  476,033 ","  487,005 "
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
