Project ID,ARB ID,Project Developer,Project Name,Project VVB,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Project Notes,Total Number of Credits Registered ,Documents,Project Website,Unnamed: 16
ACR457,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001E,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,46868.0,View,,
ACR462,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001F,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,60655.0,View,,
ACR463,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001G,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,63778.0,View,,
ACR464,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001H,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,66273.0,View,,
ACR465,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001I,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,67092.0,View,,
ACR466,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001J,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,68943.0,View,,
ACR551,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001L,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,87801.0,View,,
ACR624,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001M,"First Environment, Inc.",Industrial Process Emissions,Listed,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,,
ACR369,,"Foam Supplies, Inc.",Foam Blowing Agent Project 002,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,113546.0,View,,
ACR451,,"Foam Supplies, Inc.",Foam Blowing Agent Project 002B,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,"Rockford, Minnesota",MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,105696.0,View,,
ACR450,,"Foam Supplies, Inc.",Foam Blowing Agent Project 002C,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,110310.0,View,,
ACR449,,"Foam Supplies, Inc.",Foam Blowing Agent Project 002D,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,110988.0,View,,
ACR552,,"Foam Supplies, Inc.",Foam Blowing Agent Project 002E,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,105885.0,View,,
ACR623,,"Foam Supplies, Inc.",Foam Blowing Agent Project 002F,"First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,102145.0,View,,
ACR454,,"Foam Supplies, Inc.",Foam Blowing Agent Project 003C,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Winchester,VIRGINIA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,291983.0,View,,
ACR455,,"Foam Supplies, Inc.",Foam Blowing Agent Project 003D,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Winchester,VIRGINIA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,520153.0,View,,
ACR622,,"Foam Supplies, Inc.",Foam Blowing Agent Project 003F,"First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,Winchester,VIRGINIA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,614148.0,View,,
ACR556,,"Foam Supplies, Inc",Foam Blowing Agent Project 005,"First Environment, Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,Winchester,VIRGINIA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,529192.0,View,,
ACR361,CAFR5361,"Forest Carbon Partners, L.P.",Forest Carbon Partners - Port Graham Corporation Improved Forest Management Project,,Forest Carbon,,Listed - Active ARB Project,Kenai Peninsula,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,,2469093.0,View,www.forestcarbonpartners.com,
ACR603,,"Forest Carbon Works, PBC",Forest Carbon Works Christensen Family Forest Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Proposed Project,Corbett,OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR655,,"Forest Carbon Works, PBC",Forest Carbon Works Hawk Rock Holdings Project,,Forest Carbon,,Listed - Proposed Project,Hyde Park,VERMONT,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR602,,"Forest Carbon Works, PBC",Forest Carbon Works McMahon Family Forest Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Proposed Project,Beatty,OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR601,,"Forest Carbon Works, PBC",Forest Carbon Works Posner Family Forest Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Proposed Project,Yachats,OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR570,,"Forest Carbon Works, PBC",Forest Carbon Works Rowan Family Forest Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Proposed Project,Molalla,OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR423,,"Forest Carbon Works, PBC",Forest Carbon Works Stewart Family Forest Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,"Corbett, Oregon",OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,,28048.0,View,forestcarbonworks.org,
ACR397,,Tierra Resources LLC,Forested Wetland Assimilation in the Mississippi Delta,"Environmental Services, Inc.",Wetland Restoration,Canceled,Not ARB Eligible,Luling,LOUISIANA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,www.tierraresourcesllc.com,
ACR241,CALS5181,"Camco Offsets I, LLC",Gardeau Crest Dairy,"Agri-Waste Technology, Inc.",Livestock Waste Management,,Listed - Active ARB Project,"4326 Middle Reservation Road, Perry, NY 14530",NEW YORK,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,67336.0,View,,
ACR251,CAFR5194,Era Ecosystem Services,Glasscock Island,,Forest Carbon,,Listed - Active Registry Project,Glasscock Island,MISSISSIPPI,US,Clean Water and Sanitation;Climate Action;Life on Land,,430408.0,View,,
ACR113,,Commonwealth Resource Management Corporation,Greater New Bedford LFG,"First Environment, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Dartmouth,MASSACHUSETTS,US,,,713162.0,View,,
ACR287,CAFR5237,169,Green Assets - BJT Avoided Conversion Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Georgia,GEORGIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,487551.0,View,,
ACR268,CAFR5208,169,Green Assets - HMWCF-I Avoided Conversion Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Lagrange,GEORGIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,3422737.0,View,,
ACR269,CAFR5209,169,Green Assets - HMWCF-II Avoided Conversion Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Crestview,FLORIDA,US,Clean Water and Sanitation;Climate Action;Life on Land,,1390048.0,View,,
ACR270,CAFR5210,169,Green Assets - HMWCF-III Avoided Conversion Project,,Forest Carbon,,Listed - Proposed Project,Tallahassee,FLORIDA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR265,CAFR5205,169,Green Assets - Lukens Avoided Conversion Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Lukens Island,NORTH CAROLINA,US,Clean Water and Sanitation;Climate Action;Life on Land,,298810.0,View,,
ACR266,5206,169,Green Assets - Milbury Avoided Conversion Project,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Allendale,SOUTH CAROLINA,US,Clean Water and Sanitation;Climate Action;Life on Land,,1113081.0,View,,
ACR192,,Brookgreen Gardens,Green Assets-Brookgreen Gardens Improved Forest Management Project,"Aster Global Environmental Solutions, Inc.",Forest Carbon,,Listed - Active ARB Project,Murrell's Inlet,SOUTH CAROLINA,US,Clean Water and Sanitation;Climate Action;Life on Land,,249524.0,View,,
ACR273,CAFR5233,277,Green Diamond Resource Company Klamath East IFM,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Proximity of Klamath Falls,OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,,1149657.0,View,,
ACR274,CAFR5234,277,Green Diamond Resource Company Klamath West IFM,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Proximity of Klamath Falls,OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,,482423.0,View,,
ACR236,CALS5136,"Camco Offsets I, LLC",Green Meadow Farm,Dillon Consulting Limited,Livestock Waste Management,,Listed - Active ARB Project,Elsie,MICHIGAN,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,5816.0,View,,
ACR114,,C2I LLC,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),Ruby Canyon Environment,Forest Carbon,Registered,Not ARB Eligible,Mississippi Alluvial Valley,ARKANSAS,US,Clean Water and Sanitation;Climate Action;Life on Land,,5091586.0,View,www.green-trees.com,
ACR355,CALS5355,"3Degrees Group, Inc.",Greenwood Dairy Anaerobic Digester,"Agri-Waste Technology, Inc.",Livestock Waste Management,,Listed - Active ARB Project,"Canton, New York",NEW YORK,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,32366.0,View,,
ACR182,CAFR5012,"Forest Carbon Partners, L.P.",Hanes Ranch Forest Carbon Project,,Forest Carbon,,Listed - Active ARB Project,Mendocino County,CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,161645.0,View,www.forestcarbonpartners.com,
ACR365,,318,HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA (HFO-1233zd(E)) 2014 and 2015,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,"Houston, TX and Brantford, Ontario",TEXAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,5967.0,View,,
ACR366,,318,HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA (HFO-1233zd(E)) 2015,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Houston,TEXAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,28770.0,View,,
ACR491,,318,HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2016,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Brantford,ONTARIO,CA,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,25094.0,View,,
ACR514,,318,HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2016b,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Houston,TEXAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,55566.0,View,Honeywell,
ACR501,,318,HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2017,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Brantford,ONTARIO,CA,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,22304.0,View,,
ACR515,,318,HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2017b,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Houston,TEXAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,121764.0,View,Honeywell,
ACR502,,318,HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2018,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Brantford,ONTARIO,CA,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,26208.0,View,,
ACR516,,318,HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2018b,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Houston,TEXAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,130336.0,View,,
ACR394,,The Nature Conservancy,Hiawatha Club Carbon Project,SCS Global Services (Scientific Certification Systems),Forest Carbon,Registered,Not ARB Eligible,East Stroudsburg,PENNSYLVANIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,30906.0,View,,
ACR313,CALS5263,"Camco Offsets I, LLC",High Island Dairy,Dillon Consulting Limited,Livestock Waste Management,,Listed - Active ARB Project,Le Sueur,MINNESOTA,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,98612.0,View,,
ACR259,CALS5289,"3Degrees Group, Inc.",Homestead Green Energy,"Agri-Waste Technology, Inc.",Livestock Waste Management,,Listed - Active ARB Project,"Plymouth, Indiana",INDIANA,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,40979.0,View,,
ACR544,CAMM5544,Hubbard Creek Coal Gas LLC,Hubbard Creek Coal Gas Incineration Project,,Coal Mine Methane,,Listed - Active ARB Project,Somerset,COLORADO,US,"Industry, Innovation and Infrastructure;Climate Action",,51681.0,View,none,
ACR432,CAOD5432,Hudson Technologies Company,Hudson Tech 2018-1,Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Active ARB Project,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,21967.0,View,,
ACR445,CAOD5445,Hudson Technologies Company,Hudson Tech 2019-1,Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,54157.0,View,,
ACR469,CAOD5469,Hudson Technologies Company,Hudson Tech 2019-2,Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Active ARB Project,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,44551.0,View,,
ACR510,CAOD5510,Hudson Technologies Company,Hudson Tech 2019-6,"SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,70400.0,View,,
ACR523,CAOD5523,Hudson Technologies Company,Hudson Tech 2019-7,"SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,118763.0,View,,
ACR535,CAOD5535,Hudson Technologies Company,Hudson Tech 2020-1,"GHD Services, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,89632.0,View,,
ACR538,CAOD5538,Hudson Technologies Company,Hudson Tech 2020-2,"GHD Services, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,58481.0,View,,
ACR550,CAOD5550,Hudson Technologies Company,Hudson Tech 2020-3,"SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,59364.0,View,www.hudsontech.com,
ACR582,CAOD5582,Hudson Technologies Company,Hudson Tech 2020-4,"SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,56334.0,View,www.hudsontech.com,
ACR619,,Hudson Technologies Company,Hudson Tech 2021-1,,Ozone Depleting Substances,,Listed - Active Registry Project,East Liverpool,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,163910.0,View,www.hudsontech.com,
ACR649,,Hudson Technologies Company,Hudson Tech 2021-2,Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Proposed Project,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,www.hudsontech.com,
ACR557,,Hudson Technologies Company,Hudson Tech HFC Reclamation Project 2020-1,,Industrial Process Emissions,Registered,Not ARB Eligible,Champaign,ILLINOIS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,189916.0,View,www.hudsontech.com,
ACR648,,Hudson Technologies Company,Hudson Technologies HFC Reclamation Project 2020 - Georgia,,Industrial Process Emissions,Listed,Not ARB Eligible,Atlanta,GEORGIA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,www.hudsontech.com,
ACR210,,Huron Mountain Club,Huron Mountain Club Forest Carbon Project,"Environmental Services, Inc.",Forest Carbon,,Listed - Active ARB Project,"Marquette County, Michigan",MICHIGAN,US,Clean Water and Sanitation;Climate Action;Life on Land,,1342730.0,View,,
ACR512,,"3Degrees Group, Inc.",Hydrodec Base Oil Reclamation Project,,Industrial Process Emissions,Listed,Not ARB Eligible,2021 Steinway Blvd. S.E.,OHIO,US,"Industry, Innovation and Infrastructure;Climate Action",,,View,,
ACR637,,334,ILTF/NICC & SIG  Keweenaw Bay Indian Community Forest Carbon Project,Ruby Canyon Environment,Forest Carbon,Listed,Not ARB Eligible,"Baraga, MI",MICHIGAN,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR634,,334,ILTF/NICC & SIG Fond Du Lac Band Forest Carbon Project,Ruby Canyon Environment,Forest Carbon,Listed,Not ARB Eligible,Cloquet,MINNESOTA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR207,,"Truckers Carbon Exchange, Inc.",Improvements in Vehicle Efficiency for Crete Carrier Corp,SCS Global Services (Scientific Certification Systems),Transport / Fleet Efficiency,Registered,Not ARB Eligible,Us (48 States),NEBRASKA,US,"Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action",,267128.0,View,,
ACR204,,"Truckers Carbon Exchange, Inc.",Improvements in Vehicle Efficiency for Marten Transport,SCS Global Services (Scientific Certification Systems),Transport / Fleet Efficiency,Registered,Not ARB Eligible,US (48 States),WISCONSIN,US,"Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action",,207509.0,View,none,
ACR103,,Inland Empire Utilities Agency,Inland Empire Anaerobic Ag Digester,Ruby Canyon Environment,Livestock Waste Management,Completed,Not ARB Eligible,Chino,CALIFORNIA,US,,,44202.0,View,,
ACR162,,Blue Source,International Paper,URS,Energy Efficiency,Completed,Not ARB Eligible,"Bucksport, ME",MAINE,US,,,439035.0,View,,
ACR349,CALS5349,"3Degrees Group, Inc.",Kettle Butte Digester,"Agri-Waste Technology, Inc.",Livestock Waste Management,,Listed - Active ARB Project,Roberts,IDAHO,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,103049.0,View,,
ACR378,,California Timberlands 2 LLC,Lord Ellis Improved Forest Management Project,Ruby Canyon Environment,Forest Carbon,,Listed - Active ARB Project,Humboldt County,CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,384138.0,View,,
ACR219,,Sustainable Carbon - Projetos Ambientais Ltda.,Low Carbon Agriculture: Composting Project in Brazil,,Livestock Waste Management,Canceled,Not ARB Eligible,"The project location is within the swine producing region of Brazil, in the west of the States of Paraná, Santa Catarina, and Rio Grande do Sul, which are located in the south of the country.","States of PR, SC, and RS",BR,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,,View,,
ACR483,,Hillsborough County/CELMD,Lower Green Swamp Preserve,"Aster Global Environmental Solutions, Inc.",Forest Carbon,Registered,Not ARB Eligible,Hillsborough County,FLORIDA,US,Clean Water and Sanitation;Climate Action;Life on Land,,34662.0,View,,
ACR115,,"Entergy Services, Inc",Lower Mississippi Valley Reforestation,"Environmental Services, Inc.",Forest Carbon,Registered,Not ARB Eligible,"National Wildlife Refuges, Managed by USFWS in the Lower Mississippi Valley",LOUISIANA,US,Clean Water and Sanitation;Climate Action;Life on Land,,14934.0,View,,
ACR392,CALS5392,"3Degrees Group, Inc.",Majestic Crossing Dairy Digester,,Livestock Waste Management,,Listed - Proposed Project,"N5854 Meadowlark Road, Sheboygan Falls",WISCONSIN,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,,View,,
ACR165,,Malhas Menegotti Industria Textil Ltda.,Malhas Menegotti Industria Textil Fuel Switch,"Det Norske Veritas (U.S.A.), Inc.",Fuel Switching,Registered,Not ARB Eligible,"Jaraguá do Sul, Santa Catarina, Brazil",SC,BR,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action",,253991.0,View,,
ACR611,CAMM5611,"NextEra Energy Marketing, LLC",Marion County Flare I,,Coal Mine Methane,,Listed - Proposed Project,Metz,WEST VIRGINIA,US,"Industry, Innovation and Infrastructure;Climate Action",,,View,,
ACR493,CAMM5493,"NextEra Energy Marketing, LLC",Marshall County Flare I,SCS Engineers,Coal Mine Methane,,Listed - Active ARB Project,Cameron,WEST VIRGINIA,US,"Industry, Innovation and Infrastructure;Climate Action",,36033.0,View,,
ACR609,CAMM5609,"NextEra Energy Marketing, LLC",Marshall County Flare II,SCS Engineers,Coal Mine Methane,,Listed - Proposed Project,Cameron,WEST VIRGINIA,US,"Industry, Innovation and Infrastructure;Climate Action",,,View,,
ACR610,CAMM5610,"NextEra Energy Marketing, LLC",Marshall County Flare III,SCS Engineers,Coal Mine Methane,,Listed - Proposed Project,Cameron,WEST VIRGINIA,US,"Industry, Innovation and Infrastructure;Climate Action",,,View,,
ACR226,CAMM5100,"NextEra Energy Marketing, LLC",Marshall County VAM Abatement project,SCS Engineers,Coal Mine Methane,,Listed - Active ARB Project,"Glen Easton, WV  26039",WEST VIRGINIA,US,"Industry, Innovation and Infrastructure;Climate Action",,1399434.0,View,,
ACR117,,Blue Source,Merit Energy Geo-Seq,Ruby Canyon Environment,Carbon Capture & Storage (CCS),Completed,Not ARB Eligible,LaBarge,WYOMING,US,,,7308664.0,View,,
ACR546,CAMM5546,Keyrock Environment LLC,Middle Fork Abandoned Mine Methane Recovery Project,Dillon Consulting Limited,Coal Mine Methane,,Listed - Active ARB Project,Benton,ILLINOIS,US,"Industry, Innovation and Infrastructure;Climate Action",,10640.0,View,,
ACR189,CAFR5016,Steve Miller and Florence Miller Co-Trustees of the Edward Miller Trust,Miller Forest,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,5 miles west of Willow Creek,CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,314412.0,View,,
ACR560,CAMM5560,Keyrock Environment LLC,Mine 84 Abandoned Mine Methane Recovery Project,Dillon Consulting Limited,Coal Mine Methane,,Listed - Active Registry Project,Washington County,PENNSYLVANIA,US,"Industry, Innovation and Infrastructure;Climate Action",,70251.0,View,,
ACR118,,Anadarko,Monell Geo-Seq,ICF International,Carbon Capture & Storage (CCS),Completed,Not ARB Eligible,Sweetwater County,WYOMING,US,,,1748409.0,View,,
ACR177,,Statkraft Energias Renováveis S.A.,Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes),"Det Norske Veritas (U.S.A.), Inc.",Renewable Energy,Registered,Not ARB Eligible,Faxinalzinho and Nonoai,Rio Grande do Sul,BR,Affordable and Clean Energy;Sustainable Cities and Communities;Climate Action,,673609.0,View,,
ACR191,,MS RENOVÁVEIS PARTICIPAÇÕES SOCIETÁRIAS S.A.,"MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and  Icaraí",,Renewable Energy,Listed,Not ARB Eligible,Ceará and Rio Grande do Norte States,Ceará and Rio Grande do Norte,BR,Affordable and Clean Energy;Sustainable Cities and Communities;Climate Action,,587064.0,View,,
ACR415,,The Climate Trust,N/a,,Forest Carbon,Canceled,Not ARB Eligible,-,OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR578,CAMM5578,Keyrock Environment LLC,New Era Abandoned Mine Methane Recovery Project,Dillon Consulting Limited,Coal Mine Methane,,Listed - Proposed Project,Galatia,ILLINOIS,US,"Industry, Innovation and Infrastructure;Climate Action",,,View,,
ACR167,,DuPont,Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility,ICF International,Industrial Process Emissions,Completed,Not ARB Eligible,"Orange, TX",TEXAS,US,,,125000.0,View,,
ACR171,,Delta Institute,Nitrous Oxide Reduction in Corn,"Environmental Services, Inc.",Agricultural Land Management,Registered,Not ARB Eligible,Reese,MICHIGAN,US,Zero Hunger;Clean Water and Sanitation;Climate Action,,2.0,View,,
ACR593,CAMM5593,Environmental Commodities Corporation,NMMC1,"SES, Inc.",Coal Mine Methane,,Listed - Active Registry Project,Cadiz,OHIO,US,"Industry, Innovation and Infrastructure;Climate Action",,5715.0,View,www.eccintl.com,
ACR119,,Commonwealth Resource Management Corporation,North Country LFG,"First Environment, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Bethlehem,NEW HAMPSHIRE,US,,,1592397.0,View,,
ACR542,CAMM5542,Keyrock Environment LLC,Orient 6 Abandoned Mine Methane Recovery Project,Dillon Consulting Limited,Coal Mine Methane,,Listed - Active ARB Project,Waltonville,ILLINOIS,US,"Industry, Innovation and Infrastructure;Climate Action",,10532.0,View,,
ACR572,CAMM5572,Keyrock Environment LLC,Pattiki 2 Abandoned Mine Methane Recovery Project,Dillon Consulting Limited,Coal Mine Methane,,Listed - Active ARB Project,White County,ILLINOIS,US,"Industry, Innovation and Infrastructure;Climate Action",,13824.0,View,,
ACR470,CAMM5470,Perennial CMM LLC,PERENNIAL CN9-1 AMM FLARE PROJECT,SCS Engineers,Coal Mine Methane,,Listed - Active ARB Project,Fairview,WEST VIRGINIA,US,"Industry, Innovation and Infrastructure;Climate Action",,9329.0,View,,
ACR548,CAMM5548,Perennial CMM LLC,Perennial CN9-2 AMM FLARE PROJECT,SCS Engineers,Coal Mine Methane,,Listed - Proposed Project,Fairview,WEST VIRGINIA,US,"Industry, Innovation and Infrastructure;Climate Action",,,View,,
ACR400,CAMM5400,Perennial CMM LLC,Perennial OSG-1 AMM Flare Project,,Coal Mine Methane,,Listed - Proposed Project,Morgantown,WEST VIRGINIA,US,"Industry, Innovation and Infrastructure;Climate Action",,,View,,
