Project ID,ARB ID,Project Developer,Project Name,Project VVB,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Project Notes,Total Number of Credits Registered ,Documents,Project Website,Unnamed: 16
ACR163,,Sexton Energy,Des Plaines LFG to Energy,"Landfills +, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,"Cook County, IL",ILLINOIS,US,,,115875.0,View,,
ACR186,,"W. M. Beaty & Associates, Inc.",Devil Fire Reforestation,,Forest Carbon,Inactive,Proposed Early Action,Susanville,CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,www.wmbeaty.com,
ACR246,CAFR5186,"W. M. Beaty & Associates, Inc.",Devil Fire Reforestation Compliance Project,Ruby Canyon Environment,Forest Carbon,,Listed - Active Registry Project,Susanville,CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,www.wmbeaty.com,
ACR111,,Devon Energy Group,Devon Mizer Pneumatic Retrofit,"Det Norske Veritas (U.S.A.), Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,"Oklahoma, Texas, Wyoming",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action",,5724.0,View,,
ACR421,,The Climate Trust,DLLT Wabassus IFM,,Forest Carbon,Canceled,Not ARB Eligible,Washington County,MAINE,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR112,,Biogas Energy Solutions,Dolton LFG to Energy,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Dolton,ILLINOIS,US,,,159336.0,View,,
ACR307,,Era Ecosystem Services,Donner Property,,Forest Carbon,,Listed - Proposed Project,Donner Louisiana,LOUISIANA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR233,CALS5108,"Camco EAM, LLC",Double A Dairy,"Agri-Waste Technology, Inc.",Livestock Waste Management,,Listed - Active ARB Project,Jerome,IDAHO,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,294783.0,View,,
ACR175,,"Diversified Pure Chem, LLC",DPC Domestic ODS Destruction Project #12,,Ozone Depleting Substances,,ARB Inactive,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,www.divpc.com,
ACR170,CAOD5002,Environmental Credit Corp.,ECC ODS Destruction 2012,SCS Engineers,Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,307729.0,View,www.envcc.com,
ACR176,CAOD5013,Environmental Credit Corp.,ECC ODS Destruction 2013,SCS Engineers,Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,255227.0,View,www.envcc.com,
ACR239,CALS5139,"Camco Offsets I, LLC","Edaleen Cow Power, LLC",Dillon Consulting Limited,Livestock Waste Management,,Listed - Active ARB Project,Lynden,WASHINGTON,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",,38301.0,View,,
ACR243,CAMM5173,Vessels Carbon Solutions,Elk Creek Coal Mine Methane Destruction & Utilization Project,NSF International Strategic Registrations (NSF-ISR),Coal Mine Methane,,ARB Completed,Somerset,COLORADO,US,"Industry, Innovation and Infrastructure;Climate Action",,266263.0,View,,
