"Ministério da Ciência, Tecnologia e Inovações","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sistema de Registro Nacional de Emissões (SIRENE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resultados do 4º Inventário Nacional (1990- 2016) por Unidade Federativa - Setor Energia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Bahia","  12,326 ","  12,298 ","  13,265 ","  12,827 ","  12,673 ","  13,072 ","  14,669 ","  15,292 ","  16,084 ","  16,059 ","  15,687 ","  17,308 ","  16,673 ","  16,686 ","  18,683 ","  19,376 ","  20,373 ","  22,085 ","  23,888 ","  22,663 ","  23,224 ","  23,981 ","  25,777 ","  28,878 ","  28,855 ","  25,275 ","  22,954 "
"Minas Gerais","  19,346 ","  21,347 ","  19,964 ","  20,426 ","  20,565 ","  23,326 ","  25,054 ","  27,217 ","  27,053 ","  27,337 ","  27,676 ","  27,873 ","  27,411 ","  26,366 ","  28,474 ","  29,702 ","  31,024 ","  32,185 ","  33,416 ","  30,876 ","  36,050 ","  36,651 ","  38,880 ","  40,852 ","  42,230 ","  37,457 ","  36,305 "
"Espírito Santo","  4,560 ","  4,788 ","  4,840 ","  4,924 ","  5,593 ","  5,700 ","  5,441 ","  5,722 ","  6,005 ","  6,250 ","  8,131 ","  7,775 ","  7,799 ","  8,016 ","  6,744 ","  7,503 ","  8,708 ","  9,542 ","  12,267 ","  9,090 ","  12,947 ","  16,342 ","  16,341 ","  17,760 ","  19,135 ","  17,505 ","  15,194 "
"Rio de Janeiro","  27,663 ","  25,473 ","  25,416 ","  26,624 ","  28,644 ","  31,260 ","  35,014 ","  36,745 ","  35,071 ","  36,737 ","  39,518 ","  42,818 ","  43,453 ","  41,543 ","  43,738 ","  49,303 ","  50,776 ","  52,604 ","  61,709 ","  60,125 ","  58,054 ","  52,987 ","  61,571 ","  69,370 ","  76,162 ","  72,309 ","  64,513 "
"São Paulo","  53,587 ","  53,851 ","  55,285 ","  55,701 ","  57,251 ","  61,351 ","  66,527 ","  70,795 ","  70,750 ","  74,791 ","  76,289 ","  78,810 ","  76,300 ","  73,713 ","  76,717 ","  72,904 ","  74,030 ","  76,938 ","  78,991 ","  76,030 ","  83,529 ","  89,554 ","  95,504 ","  98,160 ","  96,857 ","  92,304 ","  89,127 "
"Paraná","  11,527 ","  12,349 ","  12,863 ","  12,974 ","  14,904 ","  15,611 ","  17,678 ","  17,924 ","  19,967 ","  18,203 ","  17,399 ","  17,358 ","  16,957 ","  17,074 ","  18,399 ","  20,155 ","  18,127 ","  19,124 ","  19,459 ","  18,692 ","  20,787 ","  21,523 ","  24,583 ","  25,681 ","  26,661 ","  25,277 ","  24,640 "
"Santa Catarina","  6,537 ","  7,065 ","  7,125 ","  7,929 ","  7,828 ","  8,530 ","  8,671 ","  9,268 ","  9,949 ","  10,621 ","  11,092 ","  11,332 ","  11,239 ","  11,126 ","  12,030 ","  12,142 ","  12,402 ","  12,837 ","  13,257 ","  13,175 ","  14,404 ","  15,222 ","  15,806 ","  16,512 ","  16,483 ","  15,699 ","  15,890 "
"Rio Grande do Sul","  12,675 ","  12,517 ","  13,212 ","  13,083 ","  12,896 ","  13,421 ","  13,905 ","  14,621 ","  15,114 ","  15,813 ","  16,372 ","  16,722 ","  16,867 ","  16,488 ","  17,276 ","  16,948 ","  17,315 ","  16,769 ","  17,678 ","  17,139 ","  18,933 ","  19,896 ","  20,499 ","  21,641 ","  21,722 ","  24,195 ","  20,923 "
"Mato Grosso do Sul","  3,292 ","  3,482 ","  3,543 ","  3,579 ","  3,603 ","  3,859 ","  3,924 ","  4,100 ","  4,143 ","  4,226 ","  4,222 ","  4,388 ","  4,629 ","  4,604 ","  4,749 ","  5,046 ","  4,524 ","  4,005 ","  4,207 ","  4,169 ","  5,929 ","  5,553 ","  7,240 ","  9,101 ","  10,301 ","  10,185 ","  7,669 "
"Mato Grosso","  4,285 ","  4,340 ","  4,673 ","  4,865 ","  5,424 ","  5,934 ","  5,587 ","  5,719 ","  6,071 ","  6,365 ","  6,642 ","  6,293 ","  6,833 ","  7,133 ","  7,826 ","  7,019 ","  6,443 ","  6,828 ","  6,538 ","  6,376 ","  6,876 ","  7,384 ","  8,554 ","  9,109 ","  9,304 ","  8,903 ","  8,481 "
"Goiás","  4,533 ","  4,767 ","  5,254 ","  5,678 ","  5,867 ","  6,430 ","  7,006 ","  7,256 ","  8,000 ","  8,362 ","  8,651 ","  8,513 ","  8,580 ","  8,559 ","  9,113 ","  9,405 ","  9,074 ","  9,739 ","  10,405 ","  9,706 ","  12,237 ","  12,670 ","  14,445 ","  15,300 ","  16,554 ","  14,752 ","  12,802 "
"Distrito Federal","  2,109 ","  2,174 ","  2,273 ","  2,354 ","  2,404 ","  2,574 ","  2,873 ","  3,211 ","  3,406 ","  3,021 ","  3,079 ","  3,215 ","  3,290 ","  3,131 ","  3,199 ","  3,154 ","  3,069 ","  3,134 ","  3,203 ","  3,343 ","  3,867 ","  4,143 ","  4,302 ","  4,423 ","  4,705 ","  4,584 ","  4,510 "
"Brasil","  192,809 ","  196,376 ","  201,530 ","  206,003 ","  214,843 ","  230,983 ","  248,210 ","  264,335 ","  271,850 ","  281,509 ","  288,164 ","  296,285 ","  294,967 ","  287,747 ","  303,659 ","  313,396 ","  318,097 ","  331,367 ","  351,122 ","  339,280 ","  374,671 ","  389,722 ","  422,573 ","  453,938 ","  481,276 ","  455,926 ","  423,580 "
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
